index,class,comment_sentence,partition,combo,labels
1,Abfss.java,this impl delegates to the old filesystem,0,this impl delegates to the old filesystem | Abfss.java,"[0, 0, 1, 0, 0, 0, 0]"
    // auth is kerberos or delegation token | TestRMWebServicesDelegationTokenAuthentication.java","[1, 0, 0, 0, 0, 0, 0]"
5159,TestRMWebServicesDelegationTokenAuthentication.java,    // first test create and renew,0,    // first test create and renew | TestRMWebServicesDelegationTokenAuthentication.java,"[1, 0, 0, 0, 0, 0, 0]"
5160,TestRMWebServicesDelegationTokenAuthentication.java,    // test cancel,0,    // test cancel | TestRMWebServicesDelegationTokenAuthentication.java,"[1, 0, 0, 0, 0, 0, 0]"
5161,TestRMWebServicesDelegationTokenAuthentication.java,"// Superuser ""client"" should be able to get a delegation token
  // for user ""client2"" when authenticated using Kerberos
  // The request shouldn't work when authenticated using DelegationTokens",0,"// Superuser ""client"" should be able to get a delegation token
  // for user ""client2"" when authenticated using Kerberos
  // The request shouldn't work when authenticated using DelegationTokens | TestRMWebServicesDelegationTokenAuthentication.java","[1, 0, 0, 0, 0, 0, 0]"
5163,TestRMWebServicesDelegationTokenAuthentication.java,    // this should also fail due to client2 not being a super user,0,    // this should also fail due to client2 not being a super user | TestRMWebServicesDelegationTokenAuthentication.java,"[1, 0, 0, 0, 0, 0, 0]"
5164,Suite_Remote_7_8.java,"Contributors:
 *     Marc Khouzam (Ericsson) - Initial implementation of Test cases
 *     Alvaro Sanchez-Leon (Ericsson) - Bug 437562 - Split the dsf-gdb tests to a plug-in and fragment pair
 *     Jonah Graham (Kichwa Coders) - Bug 469007 - Add MIExpressionsNonStopTest_7_8 to suite
 *     Jonah Graham (Kichwa Coders) - Add support for gdb's ""set substitute-path"" (Bug 472765)",0,"Contributors:
 *     Marc Khouzam (Ericsson) - Initial implementation of Test cases
 *     Alvaro Sanchez-Leon (Ericsson) - Bug 437562 - Split the dsf-gdb tests to a plug-in and fragment pair
 *     Jonah Graham (Kichwa Coders) - Bug 469007 - Add MIExpressionsNonStopTest_7_8 to suite
 *     Jonah Graham (Kichwa Coders) - Add support for gdb's ""set substitute-path"" (Bug 472765) | Suite_Remote_7_8.java","[0, 1, 0, 0, 0, 0, 0]"
5165,Suite_Remote_7_8.java,"This class is meant to be empty.  It enables us to define
 * the annotations which list all the different JUnit class we
 * want to run.  When creating a new test class, it should be
 * added to the list below.",0,"This class is meant to be empty.  It enables us to define
 * the annotations which list all the different JUnit class we
 * want to run.  When creating a new test class, it should be
 * added to the list below. | Suite_Remote_7_8.java","[1, 0, 0, 0, 0, 0, 0]"
5166,Suite_Remote_7_8.java, * This suite is for tests to be run with GDB 7_8,0, * This suite is for tests to be run with GDB 7_8 | Suite_Remote_7_8.java,"[0, 0, 0, 1, 0, 0, 0]"
5167,Suite_Remote_7_8.java,	/* Add your test class here */,0,	/* Add your test class here */ | Suite_Remote_7_8.java,"[0, 0, 0, 1, 0, 0, 0]"
5170,AsmModelBuilderTest.java,@since 5.0,0,@since 5.0 | AsmModelBuilderTest.java,"[0, 0, 0, 1, 0, 0, 0]"
5171,RunnableFuture.java,Emulation of RunnableFuture.,0,Emulation of RunnableFuture. | RunnableFuture.java,"[1, 0, 0, 0, 0, 0, 0]"
5172,ComboBoxSQLContainerFilteredValueChange.java, (Re)creates the test table,0, (Re)creates the test table | ComboBoxSQLContainerFilteredValueChange.java,"[1, 0, 0, 0, 0, 0, 0]"
5173,ComboBoxSQLContainerFilteredValueChange.java,     * Adds test data to the test table,0,     * Adds test data to the test table | ComboBoxSQLContainerFilteredValueChange.java,"[1, 0, 0, 0, 0, 0, 0]"
5174,ComboBoxSQLContainerFilteredValueChange.java,     * @param connectionPool,0,     * @param connectionPool | ComboBoxSQLContainerFilteredValueChange.java,"[0, 0, 0, 1, 0, 0, 0]"
5176,GetClusterNodesResponse.java,@link NodeReport,0,@link NodeReport | GetClusterNodesResponse.java,"[0, 0, 0, 0, 1, 0, 0]"
5178,GetClusterNodesResponse.java, * @see ApplicationClientProtocol#getClusterNodes(GetClusterNodesRequest),0, * @see ApplicationClientProtocol#getClusterNodes(GetClusterNodesRequest) | GetClusterNodesResponse.java,"[0, 0, 0, 0, 1, 0, 0]"
5179,GetClusterNodesResponse.java," <p>The response sent by the <code>ResourceManager</code> to a client
 * requesting a {@link NodeReport} for all nodes.</p>
 * 
 * <p>The <code>NodeReport</code> contains per-node information such as 
 * available resources, number of containers, tracking url, rack name, health
 * status etc.",0," <p>The response sent by the <code>ResourceManager</code> to a client
 * requesting a {@link NodeReport} for all nodes.</p>
 * 
 * <p>The <code>NodeReport</code> contains per-node information such as 
 * available resources, number of containers, tracking url, rack name, health
 * status etc. | GetClusterNodesResponse.java","[1, 0, 0, 0, 0, 0, 0]"
5180,GetClusterNodesResponse.java,Get <code>NodeReport</code> for all nodes in the cluster.,0,Get <code>NodeReport</code> for all nodes in the cluster. | GetClusterNodesResponse.java,"[1, 0, 0, 0, 0, 0, 0]"
5181,GetClusterNodesResponse.java,   * @return <code>NodeReport</code> for all nodes in the cluster,0,   * @return <code>NodeReport</code> for all nodes in the cluster | GetClusterNodesResponse.java,"[0, 0, 0, 1, 0, 0, 0]"
5182,ArithmeticProgression.java,/** An arithmetic progression */,0,/** An arithmetic progression */ | ArithmeticProgression.java,"[1, 0, 0, 0, 0, 0, 0]"
5183,ArithmeticProgression.java,  /** A symbol */,0,  /** A symbol */ | ArithmeticProgression.java,"[1, 0, 0, 0, 0, 0, 0]"
5184,ArithmeticProgression.java,  /** Starting value */,0,  /** Starting value */ | ArithmeticProgression.java,"[1, 0, 0, 0, 0, 0, 0]"
5186,ArithmeticProgression.java,  /** Ending value */,0,  /** Ending value */ | ArithmeticProgression.java,"[1, 0, 0, 0, 0, 0, 0]"
5189,ArithmeticProgression.java,  /** Does this contain that? */,0,  /** Does this contain that? */ | ArithmeticProgression.java,"[1, 0, 0, 0, 0, 0, 0]"
5190,ArithmeticProgression.java,  /** Skip some steps */,0,  /** Skip some steps */ | ArithmeticProgression.java,"[1, 0, 0, 0, 0, 0, 0]"
5191,ArithmeticProgression.java,  /** Get the number of steps */,0,  /** Get the number of steps */ | ArithmeticProgression.java,"[1, 0, 0, 0, 0, 0, 0]"
5192,ArithmeticProgression.java,  /** Convert a String to an ArithmeticProgression. */,0,  /** Convert a String to an ArithmeticProgression. */ | ArithmeticProgression.java,"[1, 0, 0, 0, 0, 0, 0]"
5196,MutableRates.java, * Helper class to manage a group of mutable rate metrics,0, * Helper class to manage a group of mutable rate metrics | MutableRates.java,"[1, 0, 0, 0, 0, 0, 0]"
5197,MutableRates.java,"Initialize the registry with all the methods in a protocol
   * so they all show up in the first snapshot.
   * Convenient for JMX implementations.",0,"Initialize the registry with all the methods in a protocol
   * so they all show up in the first snapshot.
   * Convenient for JMX implementations. | MutableRates.java","[1, 0, 0, 0, 0, 0, 0]"
5199,MutableRates.java,@param protocol the protocol class,0,@param protocol the protocol class | MutableRates.java,"[0, 0, 0, 1, 0, 0, 0]"
5201,MutableRates.java,   * @param elapsed time,0,   * @param elapsed time | MutableRates.java,"[0, 0, 0, 1, 0, 0, 0]"
5202,IASTProblemHolder.java,"Contributors:
 *     John Camelon (IBM) - Initial API and implementation",0,"Contributors:
 *     John Camelon (IBM) - Initial API and implementation | IASTProblemHolder.java","[0, 1, 0, 0, 0, 0, 0]"
5206,IASTProblemHolder.java,@return <code>IASTProblem</code>,0,@return <code>IASTProblem</code> | IASTProblemHolder.java,"[0, 0, 0, 1, 0, 0, 0]"
5207,IASTProblemHolder.java,"@param p
	 *            <code>IASTProblem</code>",0,"@param p
	 *            <code>IASTProblem</code> | IASTProblemHolder.java","[0, 0, 0, 1, 0, 0, 0]"
5208,IASTProblemHolder.java,"<code>PROBLEM</code> represents the relationship between a
	 * <code>IASTProblemHolder</code> and its <code>IASTProblem</code>.",0,"<code>PROBLEM</code> represents the relationship between a
	 * <code>IASTProblemHolder</code> and its <code>IASTProblem</code>. | IASTProblemHolder.java","[1, 0, 0, 0, 0, 0, 0]"
5209,IASTProblemHolder.java, * @noextend This interface is not intended to be extended by clients.,0, * @noextend This interface is not intended to be extended by clients. | IASTProblemHolder.java,"[0, 0, 0, 1, 0, 0, 0]"
5210,IASTProblemHolder.java, * @noimplement This interface is not intended to be implemented by clients.,0, * @noimplement This interface is not intended to be implemented by clients. | IASTProblemHolder.java,"[0, 0, 0, 1, 0, 0, 0]"
5212,GDBDynamicPrintfPropertyPage.java, * The preference page used to present the properties of a GDB dynamic printf as preferences.,0, * The preference page used to present the properties of a GDB dynamic printf as preferences. | GDBDynamicPrintfPropertyPage.java,"[1, 0, 0, 0, 0, 0, 0]"
5214,GDBDynamicPrintfPropertyPage.java,@see FieldEditor#doStore(),0,@see FieldEditor#doStore() | GDBDynamicPrintfPropertyPage.java,"[0, 0, 0, 0, 1, 0, 0]"
5216,GDBDynamicPrintfPropertyPage.java,@see #getPreferenceStore(),0,@see #getPreferenceStore() | GDBDynamicPrintfPropertyPage.java,"[0, 0, 0, 0, 1, 0, 0]"
5219,GDBDynamicPrintfPropertyPage.java,"// Look for any breakpoint (base bp class) that has the same source file and line number as what
		// is currently being inputed.  Careful not to compare with the current dprintf
		// in the case of modifying the properties of an existing dprintf; in
		// that case we of course have this particular dprintf at this file and line.",0,"// Look for any breakpoint (base bp class) that has the same source file and line number as what
		// is currently being inputed.  Careful not to compare with the current dprintf
		// in the case of modifying the properties of an existing dprintf; in
		// that case we of course have this particular dprintf at this file and line. | GDBDynamicPrintfPropertyPage.java","[0, 0, 1, 0, 0, 0, 0]"
5220,GDBDynamicPrintfPropertyPage.java,// update page state,0,// update page state | GDBDynamicPrintfPropertyPage.java,"[1, 0, 0, 0, 0, 0, 0]"
5221,GDBDynamicPrintfPropertyPage.java,// update container state,0,// update container state | GDBDynamicPrintfPropertyPage.java,"[1, 0, 0, 0, 0, 0, 0]"
5224,GDBDynamicPrintfPropertyPage.java,		// Don't allow to create a duplicate breakpoint,0,		// Don't allow to create a duplicate breakpoint | GDBDynamicPrintfPropertyPage.java,"[1, 0, 0, 0, 0, 0, 0]"
5225,GDBDynamicPrintfPropertyPage.java,        // default main label is the label of marker type for the dynamic printf,0,        // default main label is the label of marker type for the dynamic printf | GDBDynamicPrintfPropertyPage.java,"[1, 0, 0, 0, 0, 0, 0]"
5226,GDBDynamicPrintfPropertyPage.java,// LineDprintf,0,// LineDprintf | GDBDynamicPrintfPropertyPage.java,"[1, 0, 0, 0, 0, 0, 0]"
5227,GDBDynamicPrintfPropertyPage.java,"The preference store used to interface between the dynamic printf and the 
	 * dynamic printf preference page.  This preference store is initialized only
	 * when the preference store cannot be retrieved from the preference 
	 * dialog's element.",0,"The preference store used to interface between the dynamic printf and the 
	 * dynamic printf preference page.  This preference store is initialized only
	 * when the preference store cannot be retrieved from the preference 
	 * dialog's element. | GDBDynamicPrintfPropertyPage.java","[1, 0, 0, 0, 0, 0, 0]"
5228,GDBDynamicPrintfPropertyPage.java,"Indicates if the page currently aims to create
	 * a breakpoint that already exits.",0,"Indicates if the page currently aims to create
	 * a breakpoint that already exits. | GDBDynamicPrintfPropertyPage.java","[1, 0, 0, 0, 0, 0, 0]"
5230,GDBDynamicPrintfPropertyPage.java,		 * Clears the error message from the message line if the error message is the error message from this field editor.,0,		 * Clears the error message from the message line if the error message is the error message from this field editor. | GDBDynamicPrintfPropertyPage.java,"[1, 0, 0, 0, 0, 0, 0]"
5231,GDBDynamicPrintfPropertyPage.java,		 * Clears the error message from the message line if the error message is the error message from this field editor.,0,		 * Clears the error message from the message line if the error message is the error message from this field editor. | GDBDynamicPrintfPropertyPage.java,"[1, 0, 0, 0, 0, 0, 0]"
5232,GDBDynamicPrintfPropertyPage.java,		 * Only store if the text control is enabled,0,		 * Only store if the text control is enabled | GDBDynamicPrintfPropertyPage.java,"[1, 0, 0, 0, 0, 0, 0]"
5235,WeeklyLongEvents.java,        // Go over all dates this week,0,        // Go over all dates this week | WeeklyLongEvents.java,"[1, 0, 0, 0, 0, 0, 0]"
5236,WeeklyLongEvents.java,            // check if the date is in the range we need,0,            // check if the date is in the range we need | WeeklyLongEvents.java,"[0, 0, 0, 0, 0, 0, 1]"
5239,TestUserGroupMappingPlacementRule.java,    // simple base case for mapping user to queue,0,    // simple base case for mapping user to queue | TestUserGroupMappingPlacementRule.java,"[1, 0, 0, 0, 0, 0, 0]"
5240,TestUserGroupMappingPlacementRule.java,"// specify overwritten, and see if user specified a queue, and it will be
    // overridden",0,"// specify overwritten, and see if user specified a queue, and it will be
    // overridden | TestUserGroupMappingPlacementRule.java","[1, 0, 0, 0, 0, 0, 0]"
5242,GCCPathToolChainProvider.java, * Finds gcc and clang on the path.,0, * Finds gcc and clang on the path. | GCCPathToolChainProvider.java,"[1, 0, 0, 0, 0, 0, 0]"
5245,ContainerSizeChangeTest.java,"// TableElement scroll not working properly, so we need to do this.
        // http://dev.vaadin.com/ticket/13826",0,"// TableElement scroll not working properly, so we need to do this.
        // http://dev.vaadin.com/ticket/13826 | ContainerSizeChangeTest.java","[1, 0, 0, 0, 0, 0, 0]"
5247,QuickFixCreateLocalVariable.java,"Contributors:
 *     Tomasz Wesolowski - initial API and implementation",0,"Contributors:
 *     Tomasz Wesolowski - initial API and implementation | QuickFixCreateLocalVariable.java","[0, 1, 0, 0, 0, 0, 0]"
5248,QuickFixCreateLocalVariable.java,// gcc problem that matched the pattern,0,// gcc problem that matched the pattern | QuickFixCreateLocalVariable.java,"[1, 0, 0, 0, 0, 0, 0]"
5249,CompletedJob.java,"Loads the basic job level data upfront.
 * Data from job history file is loaded lazily.",0,"Loads the basic job level data upfront.
 * Data from job history file is loaded lazily. | CompletedJob.java","[1, 0, 0, 0, 0, 0, 0]"
5250,CompletedJob.java,//Can be picked from JobInfo with a conversion.,0,//Can be picked from JobInfo with a conversion. | CompletedJob.java,"[1, 0, 0, 0, 0, 0, 0]"
5251,CompletedJob.java,//Can be picked up from JobInfo,0,//Can be picked up from JobInfo | CompletedJob.java,"[1, 0, 0, 0, 0, 0, 0]"
5253,CompletedJob.java,//we have only two types of tasks,0,//we have only two types of tasks | CompletedJob.java,"[1, 0, 0, 0, 0, 0, 0]"
5256,CompletedJob.java,@see org.apache.hadoop.mapreduce.v2.app.job.Job#getJobACLs(),0,@see org.apache.hadoop.mapreduce.v2.app.job.Job#getJobACLs() | CompletedJob.java,"[0, 0, 0, 0, 1, 0, 0]"
5257,AppInfo.java,// JAXB needs this,0,// JAXB needs this | AppInfo.java,"[1, 0, 0, 0, 0, 0, 0]"
5259,AR.java,The <code>AR</code> class is used for parsing standard SOM archive (ar) files.,0,The <code>AR</code> class is used for parsing standard SOM archive (ar) files. | AR.java,"[1, 0, 0, 0, 0, 0, 0]"
5260,AR.java,Archive and archive member header. Does not include 8-byte magic character.,0,Archive and archive member header. Does not include 8-byte magic character. | AR.java,"[1, 0, 0, 0, 0, 0, 0]"
5261,AR.java,// file member name - '/' terminated,0,// file member name - '/' terminated | AR.java,"[1, 0, 0, 0, 0, 0, 0]"
5262,AR.java,// file member date - decimal,0,// file member date - decimal | AR.java,"[1, 0, 0, 0, 0, 0, 0]"
5266,AR.java,// file member size - decimal,0,// file member size - decimal | AR.java,"[1, 0, 0, 0, 0, 0, 0]"
5269,AR.java,// derived information,0,// derived information | AR.java,"[1, 0, 0, 0, 0, 0, 0]"
5270,AR.java,/** Get the name of the object file */,0,/** Get the name of the object file */ | AR.java,"[1, 0, 0, 0, 0, 0, 0]"
5271,AR.java,		/** Get the size of the object file . */,0,		/** Get the size of the object file . */ | AR.java,"[1, 0, 0, 0, 0, 0, 0]"
5272,AR.java,	 * Library Symbol Table header,0,	 * Library Symbol Table header | AR.java,"[1, 0, 0, 0, 0, 0, 0]"
5273,AR.java,		// record fields,0,		// record fields | AR.java,"[1, 0, 0, 0, 0, 0, 0]"
5274,AR.java," Creates a new <code>AR</code> object from the contents of 
	 *  the given file.",0," Creates a new <code>AR</code> object from the contents of 
	 *  the given file. | AR.java","[1, 0, 0, 0, 0, 0, 0]"
5275,AR.java,	 *  Get an array of all the object file headers for this archive.,0,	 *  Get an array of all the object file headers for this archive. | AR.java,"[1, 0, 0, 0, 0, 0, 0]"
5276,AR.java,	/** Load the headers from the file (if required).  */,0,	/** Load the headers from the file (if required).  */ | AR.java,"[1, 0, 0, 0, 0, 0, 0]"
5277,AR.java,"Check for EOF condition
			//
			// get the SOM directory",0,"Check for EOF condition
			//
			// get the SOM directory | AR.java","[1, 0, 0, 0, 0, 0, 0]"
5278,AR.java,			// each SOM Directory entry has 2 32bit words: SOM offset from LST and size,0,			// each SOM Directory entry has 2 32bit words: SOM offset from LST and size | AR.java,"[1, 0, 0, 0, 0, 0, 0]"
5284,AR.java,"	 * @return An array of headers, one for each object within the archive.",0,"	 * @return An array of headers, one for each object within the archive. | AR.java","[0, 0, 0, 1, 0, 0, 0]"
5285,AR.java,	 * @see ARHeader,0,	 * @see ARHeader | AR.java,"[0, 0, 0, 0, 1, 0, 0]"
5287,TestLdapGroupsMappingBase.java,"// We're going to have to define the loop here. We want two iterations,
    // to get both the groups",0,"// We're going to have to define the loop here. We want two iterations,
    // to get both the groups | TestLdapGroupsMappingBase.java","[1, 0, 0, 0, 0, 0, 0]"
5288,TestLdapGroupsMappingBase.java,    // Define the attribute for the name of the first group,0,    // Define the attribute for the name of the first group | TestLdapGroupsMappingBase.java,"[1, 0, 0, 0, 0, 0, 0]"
5289,TestLdapGroupsMappingBase.java,    // Define the attribute for the name of the second group,0,    // Define the attribute for the name of the second group | TestLdapGroupsMappingBase.java,"[1, 0, 0, 0, 0, 0, 0]"
5290,TestLdapGroupsMappingBase.java,"    // This search result gets reused, so return group1, then group2",0,"    // This search result gets reused, so return group1, then group2 | TestLdapGroupsMappingBase.java","[1, 0, 0, 0, 0, 0, 0]"
5292,StreamKeyValUtil.java,   * Find the first occured tab in a UTF-8 encoded string,0,   * Find the first occured tab in a UTF-8 encoded string | StreamKeyValUtil.java,"[1, 0, 0, 0, 0, 0, 0]"
5293,StreamKeyValUtil.java," split a UTF-8 byte array into key and value 
   * assuming that the delimilator is at splitpos.",0," split a UTF-8 byte array into key and value 
   * assuming that the delimilator is at splitpos. | StreamKeyValUtil.java","[1, 0, 0, 0, 0, 0, 0]"
5294,StreamKeyValUtil.java," split a UTF-8 byte array into key and value 
   * assuming that the delimilator is at splitpos.",0," split a UTF-8 byte array into key and value 
   * assuming that the delimilator is at splitpos. | StreamKeyValUtil.java","[1, 0, 0, 0, 0, 0, 0]"
5295,StreamKeyValUtil.java,"split a UTF-8 byte array into key and value 
   * assuming that the delimilator is at splitpos.",0,"split a UTF-8 byte array into key and value 
   * assuming that the delimilator is at splitpos. | StreamKeyValUtil.java","[1, 0, 0, 0, 0, 0, 0]"
5300,StreamKeyValUtil.java,   * @return number of bytes read,0,   * @return number of bytes read | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5301,StreamKeyValUtil.java,   * @param splitPos the split pos,0,   * @param splitPos the split pos | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5302,StreamKeyValUtil.java,   * @param val contains value upon the method is returned,0,   * @param val contains value upon the method is returned | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5303,StreamKeyValUtil.java,   * @param key contains key upon the method is returned,0,   * @param key contains key upon the method is returned | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5304,StreamKeyValUtil.java,   * @param utf utf-8 encoded string,0,   * @param utf utf-8 encoded string | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5306,StreamKeyValUtil.java,   * @param splitPos the split pos,0,   * @param splitPos the split pos | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5308,StreamKeyValUtil.java,   * @param key contains key upon the method is returned,0,   * @param key contains key upon the method is returned | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5310,StreamKeyValUtil.java,   * @param splitPos the split pos,0,   * @param splitPos the split pos | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5315,StreamKeyValUtil.java,   * @param utf utf-8 encoded string,0,   * @param utf utf-8 encoded string | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5317,StreamKeyValUtil.java,   * @param splitPos the split pos,0,   * @param splitPos the split pos | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5318,StreamKeyValUtil.java,   * @param val contains value upon the method is returned,0,   * @param val contains value upon the method is returned | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5319,StreamKeyValUtil.java,   * @param key contains key upon the method is returned,0,   * @param key contains key upon the method is returned | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5320,StreamKeyValUtil.java,   * @param length no. of bytes,0,   * @param length no. of bytes | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5321,StreamKeyValUtil.java,   * @param start starting offset,0,   * @param start starting offset | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5322,StreamKeyValUtil.java,   * @param utf utf-8 encoded string,0,   * @param utf utf-8 encoded string | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5323,StreamKeyValUtil.java,   * @param utf a byte array containing a UTF-8 encoded string,0,   * @param utf a byte array containing a UTF-8 encoded string | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5324,StreamKeyValUtil.java,   * @return position that first tab occures otherwise -1,0,   * @return position that first tab occures otherwise -1 | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5325,StreamKeyValUtil.java,   * @param utf a byte array containing a UTF-8 encoded string,0,   * @param utf a byte array containing a UTF-8 encoded string | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5326,StreamKeyValUtil.java,   * @param start starting offset,0,   * @param start starting offset | StreamKeyValUtil.java,"[0, 0, 0, 1, 0, 0, 0]"
5329,UntargettedBinding.java, * @author jessewilson@google.com (Jesse Wilson),0, * @author jessewilson@google.com (Jesse Wilson) | UntargettedBinding.java,"[0, 1, 0, 0, 0, 0, 0]"
5331,UntargettedBinding.java,"An untargetted binding. This binding indicates that the injector should use its implicit binding
 * strategies to resolve injections.",0,"An untargetted binding. This binding indicates that the injector should use its implicit binding
 * strategies to resolve injections. | UntargettedBinding.java","[1, 0, 0, 0, 0, 0, 0]"
5333,ElfBinaryArchive.java,@see org.eclipse.cdt.core.IBinaryParser.IBinaryArchive#getObjects(),0,@see org.eclipse.cdt.core.IBinaryParser.IBinaryArchive#getObjects() | ElfBinaryArchive.java,"[0, 0, 0, 0, 1, 0, 0]"
5335,ElfBinaryArchive.java,@deprecated use {@link ElfBinaryArchive#createArchiveMembers(ARHeader[])},0,@deprecated use {@link ElfBinaryArchive#createArchiveMembers(ARHeader[])} | ElfBinaryArchive.java,"[0, 0, 0, 0, 0, 1, 0]"
5336,AbstractRowHandleSelectionModel.java,"An abstract class that adds a consistent API for common methods that's needed
 * by Vaadin's server-based selection models to work.
 * <p>
 * <em>Note:</em> This should be an interface instead of an abstract class, if
 * only we could define protected methods in an interface.",0,"An abstract class that adds a consistent API for common methods that's needed
 * by Vaadin's server-based selection models to work.
 * <p>
 * <em>Note:</em> This should be an interface instead of an abstract class, if
 * only we could define protected methods in an interface. | AbstractRowHandleSelectionModel.java","[1, 0, 0, 0, 0, 0, 0]"
5337,AbstractRowHandleSelectionModel.java,"@return <code>true</code> iff the selection state was changed by this
     *         call",0,"@return <code>true</code> iff the selection state was changed by this
     *         call | AbstractRowHandleSelectionModel.java","[0, 0, 0, 1, 0, 0, 0]"
5338,AbstractRowHandleSelectionModel.java,"@param handle
     *            the handle to deselect by",0,"@param handle
     *            the handle to deselect by | AbstractRowHandleSelectionModel.java","[0, 0, 0, 1, 0, 0, 0]"
5339,AbstractRowHandleSelectionModel.java,"@return <code>true</code> iff the selection state was changed by this
     *         call",0,"@return <code>true</code> iff the selection state was changed by this
     *         call | AbstractRowHandleSelectionModel.java","[0, 0, 0, 1, 0, 0, 0]"
5340,AbstractRowHandleSelectionModel.java,"@param handle
     *            the handle to select by",0,"@param handle
     *            the handle to select by | AbstractRowHandleSelectionModel.java","[0, 0, 0, 1, 0, 0, 0]"
5343,AbstractRowHandleSelectionModel.java,@link com.vaadin.client.data.DataSource.RowHandle RowHandle,0,@link com.vaadin.client.data.DataSource.RowHandle RowHandle | AbstractRowHandleSelectionModel.java,"[0, 0, 0, 0, 1, 0, 0]"
5344,AbstractRowHandleSelectionModel.java,@link com.vaadin.client.data.DataSource.RowHandle RowHandle,0,@link com.vaadin.client.data.DataSource.RowHandle RowHandle | AbstractRowHandleSelectionModel.java,"[0, 0, 0, 0, 1, 0, 0]"
5345,AbstractRowHandleSelectionModel.java,<em>Note:</em> this method may not fire selection change events.,0,<em>Note:</em> this method may not fire selection change events. | AbstractRowHandleSelectionModel.java,"[0, 0, 0, 1, 0, 0, 0]"
5348,AbstractRowHandleSelectionModel.java,"Select a row, based on its",0,"Select a row, based on its | AbstractRowHandleSelectionModel.java","[1, 0, 0, 0, 0, 0, 0]"
5349,AbstractRowHandleSelectionModel.java," Deselect a row, based on its",0," Deselect a row, based on its | AbstractRowHandleSelectionModel.java","[1, 0, 0, 0, 0, 0, 0]"
5350,DestinationParam.java,/** Destination path parameter. */,0,/** Destination path parameter. */ | DestinationParam.java,"[1, 0, 0, 0, 0, 0, 0]"
5351,DestinationParam.java,  /** Parameter name. */,0,  /** Parameter name. */ | DestinationParam.java,"[1, 0, 0, 0, 0, 0, 0]"
5352,DestinationParam.java,  /** Default parameter value. */,0,  /** Default parameter value. */ | DestinationParam.java,"[1, 0, 0, 0, 0, 0, 0]"
5356,IVMUpdatePolicyExtension.java,@since 2.2,0,@since 2.2 | IVMUpdatePolicyExtension.java,"[0, 0, 0, 1, 0, 0, 0]"
5357,IVMUpdatePolicyExtension.java,"@param entry The dirty cache entry that is missing the given requested 
     * property.",0,"@param entry The dirty cache entry that is missing the given requested 
     * property. | IVMUpdatePolicyExtension.java","[0, 0, 0, 1, 0, 0, 0]"
5358,IVMUpdatePolicyExtension.java,     * @param property Property missing from cache.,0,     * @param property Property missing from cache. | IVMUpdatePolicyExtension.java,"[0, 0, 0, 1, 0, 0, 0]"
5360,IVMUpdatePolicyExtension.java,"Extension to the VM Update policy which allows the policy to control how to 
 * update missing property values in a dirty cache entry.",0,"Extension to the VM Update policy which allows the policy to control how to 
 * update missing property values in a dirty cache entry. | IVMUpdatePolicyExtension.java","[1, 0, 0, 0, 0, 0, 0]"
5361,IVMUpdatePolicyExtension.java," Determines whether the given dirty cache entry should have the given 
     * missing property updated.",0," Determines whether the given dirty cache entry should have the given 
     * missing property updated. | IVMUpdatePolicyExtension.java","[1, 0, 0, 0, 0, 0, 0]"
5362,IExitNode.java,"Contributors:
 *    Alena Laskavaia  - initial API and implementation",0,"Contributors:
 *    Alena Laskavaia  - initial API and implementation | IExitNode.java","[0, 1, 0, 0, 0, 0, 0]"
5364,IExitNode.java, * @noimplement This interface is not intended to be implemented by clients.,0, * @noimplement This interface is not intended to be implemented by clients. | IExitNode.java,"[0, 0, 0, 1, 0, 0, 0]"
5365,IExitNode.java,	 * @return reference to a start node a graph,0,	 * @return reference to a start node a graph | IExitNode.java,"[0, 0, 0, 1, 0, 0, 0]"
5366,IExitNode.java,"Exit node of the graph. Usually return from the function, can also be throw
 * or abort, such at exit(0) call.",0,"Exit node of the graph. Usually return from the function, can also be throw
 * or abort, such at exit(0) call. | IExitNode.java","[1, 0, 0, 0, 0, 0, 0]"
5367,ServiceRecord.java,"JSON-marshallable description of a single component.
