index,labels,comment_sentence,comment_clean,combo,combo_clean
           * directly and writing over the entry objects with non-terminal entries, but this is
           * safe; if this Builder is used further, it will grow the entries array (so it can't
           * affect the original array), and future build() calls will always copy any entry
           * objects that cannot be safely reused. | ImmutableBiMap.java",entry full implementation may end using entry array directly writing entry object non terminal entry safe builder used grow entry array affect original array future build call always copy entry object cannot safely reused | immutablebimap java
1209,"[1, 0, 0, 0, 0, 0, 0]",// safe since map is not writable,safe since map writable,// safe since map is not writable | ImmutableBiMap.java,safe since map writable | immutablebimap java
1210,"[0, 1, 0, 0, 0, 0, 0]"," Contributors:
 * QNX Software Systems - Initial API and implementation
 * Anton Leherbauer (Wind River Systems) - bug 183397",contributor qnx software system initial api implementation anton leherbauer wind river system bug," Contributors:
 * QNX Software Systems - Initial API and implementation
 * Anton Leherbauer (Wind River Systems) - bug 183397 | AbstractBreakpointRulerAction.java",contributor qnx software system initial api implementation anton leherbauer wind river system bug | abstractbreakpointruleraction java
1211,"[0, 0, 0, 0, 1, 0, 0]",@link RulerBreakpointAction,link rulerbreakpointaction,@link RulerBreakpointAction | AbstractBreakpointRulerAction.java,link rulerbreakpointaction | abstractbreakpointruleraction java
1212,"[0, 0, 0, 0, 1, 0, 0]",@see {@link RulerBreakpointAction},see link rulerbreakpointaction,@see {@link RulerBreakpointAction} | AbstractBreakpointRulerAction.java,see link rulerbreakpointaction | abstractbreakpointruleraction java
1213,"[1, 0, 0, 0, 0, 0, 0]","Constructs an action to work on breakpoints in the specified
	 * part with the specified vertical ruler information.",construct action work breakpoints specified part specified vertical ruler information,"Constructs an action to work on breakpoints in the specified
	 * part with the specified vertical ruler information. | AbstractBreakpointRulerAction.java",construct action work breakpoints specified part specified vertical ruler information | abstractbreakpointruleraction java
1214,"[1, 0, 0, 0, 0, 0, 0]","Returns the breakpoint at the last line of mouse activity in the ruler
	 * or <code>null</code> if none.",return breakpoint last line mouse activity ruler code null code none,"Returns the breakpoint at the last line of mouse activity in the ruler
	 * or <code>null</code> if none. | AbstractBreakpointRulerAction.java",return breakpoint last line mouse activity ruler code null code none | abstractbreakpointruleraction java
1215,"[1, 0, 0, 0, 0, 0, 0]",Returns the workbench part this action was created for.,return workbench part action created,Returns the workbench part this action was created for. | AbstractBreakpointRulerAction.java,return workbench part action created | abstractbreakpointruleraction java
1216,"[1, 0, 0, 0, 0, 0, 0]",Returns the vertical ruler information this action was created for.,return vertical ruler information action created,Returns the vertical ruler information this action was created for. | AbstractBreakpointRulerAction.java,return vertical ruler information action created | abstractbreakpointruleraction java
1217,"[0, 0, 0, 1, 0, 0, 0]",@return vertical ruler information,return vertical ruler information,@return vertical ruler information | AbstractBreakpointRulerAction.java,return vertical ruler information | abstractbreakpointruleraction java
1218,"[0, 0, 0, 1, 0, 0, 0]",@return breakpoint associated with activity in the ruler or <code>null</code>,return breakpoint associated activity ruler code null code,@return breakpoint associated with activity in the ruler or <code>null</code> | AbstractBreakpointRulerAction.java,return breakpoint associated activity ruler code null code | abstractbreakpointruleraction java
1219,"[0, 0, 0, 1, 0, 0, 0]",@param part  a text editor or DisassemblyView,param part text editor disassemblyview,@param part  a text editor or DisassemblyView | AbstractBreakpointRulerAction.java,param part text editor disassemblyview | abstractbreakpointruleraction java
1220,"[0, 0, 0, 1, 0, 0, 0]",@param info  vertical ruler information,param info vertical ruler information,@param info  vertical ruler information | AbstractBreakpointRulerAction.java,param info vertical ruler information | abstractbreakpointruleraction java
1221,"[0, 1, 0, 0, 0, 0, 0]","Contributors:
 *    lufimtse :  Leo Ufimtsev lufimtse@redhat.com",contributor lufimtse leo ufimtsev lufimtse redhat com,"Contributors:
 *    lufimtse :  Leo Ufimtsev lufimtse@redhat.com | GcovAppCalculator.java",contributor lufimtse leo ufimtsev lufimtse redhat com | gcovappcalculator java
1222,"[0, 1, 0, 0, 0, 0, 0]","Contributors:
 * QNX Software Systems - Initial API and implementation
 * Freescale Semiconductor - Address watchpoints, https://bugs.eclipse.org/bugs/show_bug.cgi?id=118299
 * Warren Paul (Nokia) - Bug 217485, Bug 218342
 * Oyvind Harboe (oyvind.harboe@zylin.com) - Bug 225099",contributor qnx software system initial api implementation freescale semiconductor address watchpoints http bug eclipse org bug show bug cgi id warren paul nokia bug bug oyvind harboe oyvind harboe zylin com bug,"Contributors:
 * QNX Software Systems - Initial API and implementation
 * Freescale Semiconductor - Address watchpoints, https://bugs.eclipse.org/bugs/show_bug.cgi?id=118299
 * Warren Paul (Nokia) - Bug 217485, Bug 218342
 * Oyvind Harboe (oyvind.harboe@zylin.com) - Bug 225099 | ToggleBreakpointAdapter.java",contributor qnx software system initial api implementation freescale semiconductor address watchpoints http bug eclipse org bug show bug cgi id warren paul nokia bug bug oyvind harboe oyvind harboe zylin com bug | togglebreakpointadapter java
1223,"[1, 0, 0, 0, 0, 0, 0]",Toggles a line breakpoint in a C/C++ editor.,toggle line breakpoint c c editor,Toggles a line breakpoint in a C/C++ editor. | ToggleBreakpointAdapter.java,toggle line breakpoint c c editor | togglebreakpointadapter java
1224,"[1, 0, 0, 0, 0, 0, 0]",   * the default constructor,default constructor,   * the default constructor | UniqValueCount.java,default constructor | uniqvaluecount java
1225,"[1, 0, 0, 0, 0, 0, 0]",   * Set the limit on the number of unique values,set limit number unique value,   * Set the limit on the number of unique values | UniqValueCount.java,set limit number unique value | uniqvaluecount java
1226,"[1, 0, 0, 0, 0, 0, 0]",   * add a value to the aggregator,add value aggregator,   * add a value to the aggregator | UniqValueCount.java,add value aggregator | uniqvaluecount java
1227,"[1, 0, 0, 0, 0, 0, 0]",   * reset the aggregator,reset aggregator,   * reset the aggregator | UniqValueCount.java,reset aggregator | uniqvaluecount java
1228,"[0, 0, 0, 1, 0, 0, 0]","@return return an array of the unique objects. The return value is
   *         expected to be used by the a combiner.",return return array unique object return value expected used combiner,"@return return an array of the unique objects. The return value is
   *         expected to be used by the a combiner. | UniqValueCount.java",return return array unique object return value expected used combiner | uniqvaluecount java
1229,"[0, 0, 0, 1, 0, 0, 0]",@return the set of the unique objects,return set unique object,@return the set of the unique objects | UniqValueCount.java,return set unique object | uniqvaluecount java
1230,"[0, 0, 0, 1, 0, 0, 0]","@param val
   *          an object.",param val object,"@param val
   *          an object. | UniqValueCount.java",param val object | uniqvaluecount java
1231,"[0, 0, 0, 1, 0, 0, 0]",   * @param maxNum the limit in the number of unique values to keep.,param maxnum limit number unique value keep,   * @param maxNum the limit in the number of unique values to keep. | UniqValueCount.java,param maxnum limit number unique value keep | uniqvaluecount java
1232,"[0, 0, 0, 1, 0, 0, 0]",   * @param n the desired limit on the number of unique values,param n desired limit number unique value,   * @param n the desired limit on the number of unique values | UniqValueCount.java,param n desired limit number unique value | uniqvaluecount java
1233,"[0, 0, 0, 1, 0, 0, 0]",   * @return the new limit on the number of unique values,return new limit number unique value,   * @return the new limit on the number of unique values | UniqValueCount.java,return new limit number unique value | uniqvaluecount java
1234,"[1, 0, 0, 0, 0, 0, 0]","/**
 * Contains the logic to lookup a leveldb by timestamp so that multiple smaller
 * databases can roll according to the configured period and evicted efficiently
 * via operating system directory removal.
 */",contains logic lookup leveldb timestamp multiple smaller database roll according configured period evicted efficiently via operating system directory removal,"/**
 * Contains the logic to lookup a leveldb by timestamp so that multiple smaller
 * databases can roll according to the configured period and evicted efficiently
 * via operating system directory removal.
 */ | RollingLevelDB.java",contains logic lookup leveldb timestamp multiple smaller database roll according configured period evicted efficiently via operating system directory removal | rollingleveldb java
1235,"[1, 0, 0, 0, 0, 0, 0]",  /** Logger for this class. */,logger class,  /** Logger for this class. */ | RollingLevelDB.java,logger class | rollingleveldb java
1236,"[1, 0, 0, 0, 0, 0, 0]",  /** Factory to open and create new leveldb instances. */,factory open create new leveldb instance,  /** Factory to open and create new leveldb instances. */ | RollingLevelDB.java,factory open create new leveldb instance | rollingleveldb java
1237,"[1, 0, 0, 0, 0, 0, 0]",  /** Thread safe date formatter. */,thread safe date formatter,  /** Thread safe date formatter. */ | RollingLevelDB.java,thread safe date formatter | rollingleveldb java
1238,"[1, 0, 0, 0, 0, 0, 0]",  /** Date parser. */,date parser,  /** Date parser. */ | RollingLevelDB.java,date parser | rollingleveldb java
1239,"[1, 0, 0, 0, 0, 0, 0]",  /** Collection of all rolling leveldb instances to evict. */,collection rolling leveldb instance evict,  /** Collection of all rolling leveldb instances to evict. */ | RollingLevelDB.java,collection rolling leveldb instance evict | rollingleveldb java
1240,"[1, 0, 0, 0, 0, 0, 0]",  /** File system instance to find and create new leveldb instances. */,file system instance find create new leveldb instance,  /** File system instance to find and create new leveldb instances. */ | RollingLevelDB.java,file system instance find create new leveldb instance | rollingleveldb java
1241,"[1, 0, 0, 0, 0, 0, 0]",  /** Directory to store rolling leveldb instances. */,directory store rolling leveldb instance,  /** Directory to store rolling leveldb instances. */ | RollingLevelDB.java,directory store rolling leveldb instance | rollingleveldb java
1242,"[1, 0, 0, 0, 0, 0, 0]",  /** Rolling period. */,rolling period,  /** Rolling period. */ | RollingLevelDB.java,rolling period | rollingleveldb java
1243,"[1, 0, 0, 0, 0, 0, 0]","Rolling leveldb instances are evicted when their endtime is earlier than
   * the current time minus the time to live value.",rolling leveldb instance evicted endtime earlier current time minus time live value,"Rolling leveldb instances are evicted when their endtime is earlier than
   * the current time minus the time to live value. | RollingLevelDB.java",rolling leveldb instance evicted endtime earlier current time minus time live value | rollingleveldb java
1244,"[1, 0, 0, 0, 0, 0, 0]",  /** Whether time to live is enabled. */,whether time live enabled,  /** Whether time to live is enabled. */ | RollingLevelDB.java,whether time live enabled | rollingleveldb java
1245,"[1, 0, 0, 0, 0, 0, 0]","Convenience class for associating a write batch with its rolling leveldb
   * instance.",convenience class associating write batch rolling leveldb instance,"Convenience class for associating a write batch with its rolling leveldb
   * instance. | RollingLevelDB.java",convenience class associating write batch rolling leveldb instance | rollingleveldb java
1246,"[1, 0, 0, 0, 0, 0, 0]",    /** Write batch for the db object. */,write batch db object,    /** Write batch for the db object. */ | RollingLevelDB.java,write batch db object | rollingleveldb java
1247,"[1, 0, 0, 0, 0, 0, 0]",    // make sure we sanitize this input,make sure sanitize input,    // make sure we sanitize this input | RollingLevelDB.java,make sure sanitize input | rollingleveldb java
1248,"[1, 0, 0, 0, 0, 0, 0]",    // keep at least time to live amount of data,keep least time live amount data,    // keep at least time to live amount of data | RollingLevelDB.java,keep least time live amount data | rollingleveldb java
1249,"[1, 0, 0, 0, 0, 0, 0]",      // parse this in gmt time,parse gmt time,      // parse this in gmt time | RollingLevelDB.java,parse gmt time | rollingleveldb java
1250,"[1, 0, 0, 0, 0, 0, 0]",    // needs to be called synchronously due to shared Calendar,need called synchronously due shared calendar,    // needs to be called synchronously due to shared Calendar | RollingLevelDB.java,need called synchronously due shared calendar | rollingleveldb java
1251,"[1, 0, 0, 0, 0, 0, 0]",      // round down to 6 hour interval,round hour interval,      // round down to 6 hour interval | RollingLevelDB.java,round hour interval | rollingleveldb java
1252,"[1, 0, 0, 0, 0, 0, 0]",      // round down to 5 minute interval,round minute interval,      // round down to 5 minute interval | RollingLevelDB.java,round minute interval | rollingleveldb java
1253,"[0, 0, 0, 0, 1, 0, 0]","@see
   * org.apache.hadoop.yarn.server.applicationhistoryservice.webapp.AHSView#
   * preHead(org.apache.hadoop .yarn.webapp.hamlet.Hamlet.HTML)",see org apache hadoop yarn server applicationhistoryservice webapp ahsview prehead org apache hadoop yarn webapp hamlet hamlet html,"@see
   * org.apache.hadoop.yarn.server.applicationhistoryservice.webapp.AHSView#
   * preHead(org.apache.hadoop .yarn.webapp.hamlet.Hamlet.HTML) | AHSLogsPage.java",see org apache hadoop yarn server applicationhistoryservice webapp ahsview prehead org apache hadoop yarn webapp hamlet hamlet html | ahslogspage java
1254,"[1, 0, 0, 0, 0, 0, 0]",   * The content of this page is the AggregatedLogsBlock,content page aggregatedlogsblock,   * The content of this page is the AggregatedLogsBlock | AHSLogsPage.java,content page aggregatedlogsblock | ahslogspage java
1255,"[0, 0, 0, 1, 0, 0, 0]",   * @return AggregatedLogsBlock.class,return aggregatedlogsblock class,   * @return AggregatedLogsBlock.class | AHSLogsPage.java,return aggregatedlogsblock class | ahslogspage java
1256,"[0, 0, 0, 0, 1, 0, 0]",@link FSNamesystem,link fsnamesystem,@link FSNamesystem | SnapshotManager.java,link fsnamesystem | snapshotmanager java
1257,"[0, 0, 0, 0, 1, 0, 0]",@link SnapshotManager,link snapshotmanager,@link SnapshotManager | SnapshotManager.java,link snapshotmanager | snapshotmanager java
1258,"[0, 0, 0, 0, 1, 0, 0]",@link FSDirectory,link fsdirectory,@link FSDirectory | SnapshotManager.java,link fsdirectory | snapshotmanager java
1259,"[0, 0, 0, 0, 1, 0, 0]",@link #snapshottables,link snapshottables,@link #snapshottables | SnapshotManager.java,link snapshottables | snapshotmanager java
1260,"[0, 0, 0, 0, 1, 0, 0]",@link #snapshotCounter,link snapshotcounter,@link #snapshotCounter | SnapshotManager.java,link snapshotcounter | snapshotmanager java
1261,"[0, 0, 0, 0, 1, 0, 0]",@link #numSnapshots,link numsnapshots,@link #numSnapshots | SnapshotManager.java,link numsnapshots | snapshotmanager java
1262,"[0, 0, 0, 0, 1, 0, 0]",@link SnapshottableDirectoryStatus,link snapshottabledirectorystatus,@link SnapshottableDirectoryStatus | SnapshotManager.java,link snapshottabledirectorystatus | snapshotmanager java
1263,"[1, 0, 0, 0, 0, 0, 0]",// both fromSnapshot and toSnapshot indicate the current tree,fromsnapshot tosnapshot indicate current tree,// both fromSnapshot and toSnapshot indicate the current tree | SnapshotManager.java,fromsnapshot tosnapshot indicate current tree | snapshotmanager java
1264,"[1, 0, 0, 0, 0, 0, 0]","// Find the source root directory path where the snapshots were taken.
    // All the check for path has been included in the valueOf method.",find source root directory path snapshot taken check path included valueof method,"// Find the source root directory path where the snapshots were taken.
    // All the check for path has been included in the valueOf method. | SnapshotManager.java",find source root directory path snapshot taken check path included valueof method | snapshotmanager java
1265,"[1, 0, 0, 0, 0, 0, 0]","Compute the difference between two snapshots of a directory, or between a
   * snapshot of the directory and its current tree.",compute difference two snapshot directory snapshot directory current tree,"Compute the difference between two snapshots of a directory, or between a
   * snapshot of the directory and its current tree. | SnapshotManager.java",compute difference two snapshot directory snapshot directory current tree | snapshotmanager java
1266,"[1, 0, 0, 0, 0, 0, 0]",List all the snapshottable directories that are owned by the current user.,list snapshottable directory owned current user,List all the snapshottable directories that are owned by the current user. | SnapshotManager.java,list snapshottable directory owned current user | snapshotmanager java
1267,"[1, 0, 0, 0, 0, 0, 0]","Write {@link #snapshotCounter}, {@link #numSnapshots},
   * and all snapshots to the DataOutput.",write link snapshotcounter link numsnapshots snapshot dataoutput,"Write {@link #snapshotCounter}, {@link #numSnapshots},
   * and all snapshots to the DataOutput. | SnapshotManager.java",write link snapshotcounter link numsnapshots snapshot dataoutput | snapshotmanager java
1268,"[1, 0, 0, 0, 0, 0, 0]",Delete a snapshot for a snapshottable directory,delete snapshot snapshottable directory,Delete a snapshot for a snapshottable directory | SnapshotManager.java,delete snapshot snapshottable directory | snapshotmanager java
1269,"[1, 0, 0, 0, 0, 0, 0]","//create success, update id",create success update id,"//create success, update id | SnapshotManager.java",create success update id | snapshotmanager java
1270,"[1, 0, 0, 0, 0, 0, 0]","// We have reached the maximum allowable snapshot ID and since we don't
      // handle rollover we will fail all subsequent snapshot creation
      // requests.",reached maximum allowable snapshot id since handle rollover fail subsequent snapshot creation request,"// We have reached the maximum allowable snapshot ID and since we don't
      // handle rollover we will fail all subsequent snapshot creation
      // requests. | SnapshotManager.java",reached maximum allowable snapshot id since handle rollover fail subsequent snapshot creation request | snapshotmanager java
1271,"[1, 0, 0, 0, 0, 0, 0]","Create a snapshot of the given path.
   * It is assumed that the caller will perform synchronization.",create snapshot given path assumed caller perform synchronization,"Create a snapshot of the given path.
   * It is assumed that the caller will perform synchronization. | SnapshotManager.java",create snapshot given path assumed caller perform synchronization | snapshotmanager java
1272,"[1, 0, 0, 0, 0, 0, 0]","Find the source root directory where the snapshot will be taken
  * for a given path.",find source root directory snapshot taken given path,"Find the source root directory where the snapshot will be taken
  * for a given path. | SnapshotManager.java",find source root directory snapshot taken given path | snapshotmanager java
1273,"[1, 0, 0, 0, 0, 0, 0]",Set the given snapshottable directory to non-snapshottable.,set given snapshottable directory non snapshottable,Set the given snapshottable directory to non-snapshottable. | SnapshotManager.java,set given snapshottable directory non snapshottable | snapshotmanager java
1274,"[1, 0, 0, 0, 0, 0, 0]",  /** Remove snapshottable directories from {@link #snapshottables} */,remove snapshottable directory link snapshottables,  /** Remove snapshottable directories from {@link #snapshottables} */ | SnapshotManager.java,remove snapshottable directory link snapshottables | snapshotmanager java
1275,"[1, 0, 0, 0, 0, 0, 0]",  /** Remove the given snapshottable directory from {@link #snapshottables}. */,remove given snapshottable directory link snapshottables,  /** Remove the given snapshottable directory from {@link #snapshottables}. */ | SnapshotManager.java,remove given snapshottable directory link snapshottables | snapshotmanager java
1276,"[1, 0, 0, 0, 0, 0, 0]",  /** Add the given snapshottable directory to {@link #snapshottables}. */,add given snapshottable directory link snapshottables,  /** Add the given snapshottable directory to {@link #snapshottables}. */ | SnapshotManager.java,add given snapshottable directory link snapshottables | snapshotmanager java
1277,"[1, 0, 0, 0, 0, 0, 0]",      //The directory is already a snapshottable directory.,directory already snapshottable directory,      //The directory is already a snapshottable directory. | SnapshotManager.java,directory already snapshottable directory | snapshotmanager java
1278,"[1, 0, 0, 0, 0, 0, 0]",Set the given directory as a snapshottable directory.,set given directory snapshottable directory,Set the given directory as a snapshottable directory. | SnapshotManager.java,set given directory snapshottable directory | snapshotmanager java
1279,"[1, 0, 0, 0, 0, 0, 0]",  /** All snapshottable directories in the namesystem. */,snapshottable directory namesystem,  /** All snapshottable directories in the namesystem. */ | SnapshotManager.java,snapshottable directory namesystem | snapshotmanager java
1280,"[1, 0, 0, 0, 0, 0, 0]","Manage snapshottable directories and their snapshots.
 * 
 * This class includes operations that create, access, modify snapshots and/or
 * snapshot-related data. In general, the locking structure of snapshot
 * operations is: <br>",manage snapshottable directory snapshot class includes operation create access modify snapshot snapshot related data general locking structure snapshot operation br,"Manage snapshottable directories and their snapshots.
 * 
 * This class includes operations that create, access, modify snapshots and/or
 * snapshot-related data. In general, the locking structure of snapshot
 * operations is: <br> | SnapshotManager.java",manage snapshottable directory snapshot class includes operation create access modify snapshot snapshot related data general locking structure snapshot operation br | snapshotmanager java
1281,"[0, 0, 0, 0, 0, 0, 1]","   * If the path is already a snapshottable directory, update the quota.",path already snapshottable directory update quota,"   * If the path is already a snapshottable directory, update the quota. | SnapshotManager.java",path already snapshottable directory update quota | snapshotmanager java
1282,"[1, 0, 0, 0, 0, 0, 0]",// read snapshots,read snapshot,// read snapshots | SnapshotManager.java,read snapshot | snapshotmanager java
1283,"[0, 0, 0, 1, 0, 0, 0]","@param newSnapshotName
   *          New name of the snapshot",param newsnapshotname new name snapshot,"@param newSnapshotName
   *          New name of the snapshot | SnapshotManager.java",param newsnapshotname new name snapshot | snapshotmanager java
1284,"[0, 0, 0, 1, 0, 0, 0]","@param oldSnapshotName
   *          Old name of the snapshot",param oldsnapshotname old name snapshot,"@param oldSnapshotName
   *          Old name of the snapshot | SnapshotManager.java",param oldsnapshotname old name snapshot | snapshotmanager java
1285,"[0, 0, 0, 1, 0, 0, 0]","@param reclaimContext Used to collect information to reclaim blocks
   *                       and inodes",param reclaimcontext used collect information reclaim block inodes,"@param reclaimContext Used to collect information to reclaim blocks
   *                       and inodes | SnapshotManager.java",param reclaimcontext used collect information reclaim block inodes | snapshotmanager java
1286,"[0, 0, 0, 1, 0, 0, 0]",@param snapshotName Name of the snapshot to be deleted,param snapshotname name snapshot deleted,@param snapshotName Name of the snapshot to be deleted | SnapshotManager.java,param snapshotname name snapshot deleted | snapshotmanager java
1287,"[0, 0, 0, 1, 0, 0, 0]","@param snapshotName
   *          The name of the snapshot.",param snapshotname name snapshot,"@param snapshotName
   *          The name of the snapshot. | SnapshotManager.java",param snapshotname name snapshot | snapshotmanager java
1288,"[0, 0, 0, 1, 0, 0, 0]",@param iip the INodes resolved from the snapshottable directory's path,param iip inodes resolved snapshottable directory path,@param iip the INodes resolved from the snapshottable directory's path | SnapshotManager.java,param iip inodes resolved snapshottable directory path | snapshotmanager java
1289,"[0, 0, 0, 0, 1, 0, 0]",@see org.eclipse.cdt.managedbuilder.builddescription.IBuildCommand#getCWD(),see org eclipse cdt managedbuilder builddescription ibuildcommand getcwd,@see org.eclipse.cdt.managedbuilder.builddescription.IBuildCommand#getCWD() | BuildCommand.java,see org eclipse cdt managedbuilder builddescription ibuildcommand getcwd | buildcommand java
1290,"[0, 0, 0, 0, 1, 0, 0]",@see org.eclipse.cdt.managedbuilder.builddescription.IBuildCommand#getEnvironment(),see org eclipse cdt managedbuilder builddescription ibuildcommand getenvironment,@see org.eclipse.cdt.managedbuilder.builddescription.IBuildCommand#getEnvironment() | BuildCommand.java,see org eclipse cdt managedbuilder builddescription ibuildcommand getenvironment | buildcommand java
1291,"[0, 0, 0, 0, 1, 0, 0]",@see org.eclipse.cdt.managedbuilder.builddescription.IBuildCommand#getCommand(),see org eclipse cdt managedbuilder builddescription ibuildcommand getcommand,@see org.eclipse.cdt.managedbuilder.builddescription.IBuildCommand#getCommand() | BuildCommand.java,see org eclipse cdt managedbuilder builddescription ibuildcommand getcommand | buildcommand java
1292,"[0, 0, 0, 1, 0, 0, 0]","@param eventBus The {@link EventBus} that handled the event and the subscriber. Useful for
   *     broadcasting a a new event based on the error.",param eventbus link eventbus handled event subscriber useful broadcasting new event based error,"@param eventBus The {@link EventBus} that handled the event and the subscriber. Useful for
   *     broadcasting a a new event based on the error. | SubscriberExceptionContext.java",param eventbus link eventbus handled event subscriber useful broadcasting new event based error | subscriberexceptioncontext java
1293,"[0, 0, 0, 1, 0, 0, 0]",@param event The event object that caused the subscriber to throw.,param event event object caused subscriber throw,@param event The event object that caused the subscriber to throw. | SubscriberExceptionContext.java,param event event object caused subscriber throw | subscriberexceptioncontext java
1294,"[0, 0, 0, 1, 0, 0, 0]",@param subscriber The source subscriber context.,param subscriber source subscriber context,@param subscriber The source subscriber context. | SubscriberExceptionContext.java,param subscriber source subscriber context | subscriberexceptioncontext java
1295,"[0, 0, 0, 1, 0, 0, 0]",@param subscriberMethod the subscribed method.,param subscribermethod subscribed method,@param subscriberMethod the subscribed method. | SubscriberExceptionContext.java,param subscribermethod subscribed method | subscriberexceptioncontext java
1296,"[0, 0, 0, 1, 0, 0, 0]",@return The event object that caused the subscriber to throw.,return event object caused subscriber throw,@return The event object that caused the subscriber to throw. | SubscriberExceptionContext.java,return event object caused subscriber throw | subscriberexceptioncontext java
1297,"[0, 0, 0, 1, 0, 0, 0]",@return The object context that the subscriber was called on.,return object context subscriber called,@return The object context that the subscriber was called on. | SubscriberExceptionContext.java,return object context subscriber called | subscriberexceptioncontext java
1298,"[0, 0, 0, 1, 0, 0, 0]",@return The subscribed method that threw the exception.,return subscribed method threw exception,@return The subscribed method that threw the exception. | SubscriberExceptionContext.java,return subscribed method threw exception | subscriberexceptioncontext java
1299,"[1, 0, 0, 0, 0, 0, 0]",Context for an exception thrown by a subscriber.,context exception thrown subscriber,Context for an exception thrown by a subscriber. | SubscriberExceptionContext.java,context exception thrown subscriber | subscriberexceptioncontext java
1300,"[1, 0, 0, 0, 0, 0, 0]","Create a new ServerSocket that will not accept SSLv3 connections,
   * but will accept TLSv1.x connections.",create new serversocket accept sslv connection accept tlsv x connection,"Create a new ServerSocket that will not accept SSLv3 connections,
   * but will accept TLSv1.x connections. | SslSocketConnectorSecure.java",create new serversocket accept sslv connection accept tlsv x connection | sslsocketconnectorsecure java
1301,"[0, 1, 0, 0, 0, 0, 0]","Contributors:
 *     Ericsson - initial API and implementation
 *     Marc Khouzam (Ericsson) - Use new FinalLaunchSequence_7_0 as base class (Bug 365471)
 *     Xavier Raynaud (Kalray) - Avoid duplicating fields in sub-classes (add protected accessors)",contributor ericsson initial api implementation marc khouzam ericsson use new finallaunchsequence base class bug xavier raynaud kalray avoid duplicating field sub class add protected accessors,"Contributors:
 *     Ericsson - initial API and implementation
 *     Marc Khouzam (Ericsson) - Use new FinalLaunchSequence_7_0 as base class (Bug 365471)
 *     Xavier Raynaud (Kalray) - Avoid duplicating fields in sub-classes (add protected accessors) | FinalLaunchSequence_7_2.java",contributor ericsson initial api implementation marc khouzam ericsson use new finallaunchsequence base class bug xavier raynaud kalray avoid duplicating field sub class add protected accessors | finallaunchsequence java
1302,"[1, 0, 0, 0, 0, 0, 0]",Subclass for GDB >= 7.2.,subclass gdb,Subclass for GDB >= 7.2. | FinalLaunchSequence_7_2.java,subclass gdb | finallaunchsequence java
1303,"[1, 0, 0, 0, 0, 0, 0]","// Initialize the list with the base class' steps
			// We need to create a list that we can modify, which is why we create our own ArrayList.",initialize list base class step need create list modify create arraylist,"// Initialize the list with the base class' steps
			// We need to create a list that we can modify, which is why we create our own ArrayList. | FinalLaunchSequence_7_2.java",initialize list base class step need create list modify create arraylist | finallaunchsequence java
1304,"[1, 0, 0, 0, 0, 0, 0]",// Now insert our steps right after the initialization of the base class.,insert step right initialization base class,// Now insert our steps right after the initialization of the base class. | FinalLaunchSequence_7_2.java,insert step right initialization base class | finallaunchsequence java
1305,"[1, 0, 0, 0, 0, 0, 0]","Initialize the members of the FinalLaunchSequence_7_2 class.
	 * This step is mandatory for the rest of the sequence to complete.",initialize member finallaunchsequence class step mandatory rest sequence complete,"Initialize the members of the FinalLaunchSequence_7_2 class.
	 * This step is mandatory for the rest of the sequence to complete. | FinalLaunchSequence_7_2.java",initialize member finallaunchsequence class step mandatory rest sequence complete | finallaunchsequence java
1306,"[1, 0, 0, 0, 0, 0, 0]",Tell GDB whether to automatically attach to a forked process or not.,tell gdb whether automatically attach forked process,Tell GDB whether to automatically attach to a forked process or not. | FinalLaunchSequence_7_2.java,tell gdb whether automatically attach forked process | finallaunchsequence java
1307,"[1, 0, 0, 0, 0, 0, 0]",// Set preemption related configurations,set preemption related configuration,// Set preemption related configurations | CapacitySchedulerPreemptionTestBase.java,set preemption related configuration | capacityschedulerpreemptiontestbase java
1308,"[0, 0, 0, 1, 0, 0, 0]",Note: you must hold the cache lock to call this function.,note must hold cache lock call function,Note: you must hold the cache lock to call this function. | ShortCircuitReplica.java,note must hold cache lock call function | shortcircuitreplica java
1309,"[0, 0, 0, 1, 0, 0, 0]",@return the evictable time in nanoseconds.,return evictable time nanosecond,@return the evictable time in nanoseconds. | ShortCircuitReplica.java,return evictable time nanosecond | shortcircuitreplica java
1310,"[0, 0, 0, 1, 0, 0, 0]",@return     True if we successfully added a no-checksum anchor.,return true successfully added checksum anchor,@return     True if we successfully added a no-checksum anchor. | ShortCircuitReplica.java,return true successfully added checksum anchor | shortcircuitreplica java
1311,"[1, 0, 0, 0, 0, 0, 0]"," /**
   * Identifies this ShortCircuitReplica object.
   */",identifies shortcircuitreplica object," /**
   * Identifies this ShortCircuitReplica object.
   */ | ShortCircuitReplica.java",identifies shortcircuitreplica object | shortcircuitreplica java
1312,"[1, 0, 0, 0, 0, 0, 0]","/**
   * The block data input stream.
   */",block data input stream,"/**
   * The block data input stream.
   */ | ShortCircuitReplica.java",block data input stream | shortcircuitreplica java
1313,"[1, 0, 0, 0, 0, 0, 0]"," /**
   * Block metadata header.
   */",block metadata header," /**
   * Block metadata header.
   */ | ShortCircuitReplica.java",block metadata header | shortcircuitreplica java
1314,"[1, 0, 0, 0, 0, 0, 0]","/**
   * The cache we belong to.
   */",cache belong,"/**
   * The cache we belong to.
   */ | ShortCircuitReplica.java",cache belong | shortcircuitreplica java
1315,"[1, 0, 0, 0, 0, 0, 0]"," /**
   * Monotonic time at which the replica was created.
