index,class,comment_sentence,partition,combo,labels
470,GtGradAbstractTreeLayout,it improved the older algorithm s ability to handle non uniform sized nodes,0,it improved the older algorithm s ability to handle non uniform sized nodes | gtgradabstracttreelayout,"[1, 0, 0, 0, 0, 0]"
478,GtGradAbstractTreeLayout,to accomplish that it uses shapes represented by polyline structures,0,to accomplish that it uses shapes represented by polyline structures | gtgradabstracttreelayout,"[1, 0, 0, 0, 0, 0]"
482,GtGradAbstractTreeLayout,when merging contours minimum horizontal vertical offsets at which siblings can be placed with resepct to their upper left sibling depending of the layout s orientation are calculated,0,when merging contours minimum horizontal vertical offsets at which siblings can be placed with resepct to their upper left sibling depending of the layout s orientation are calculated | gtgradabstracttreelayout,"[0, 0, 1, 0, 0, 0]"
483,GtGradAbstractTreeLayout,once the bottom up traversal is finished calculation of offsets is finished as well,0,once the bottom up traversal is finished calculation of offsets is finished as well | gtgradabstracttreelayout,"[0, 0, 1, 0, 0, 0]"
487,GtGradAbstractTreeLayout,additionally this implementation supports alignment of nodes top center bottom in case of the vertical layout and left center right in case of the horizontal layout,0,additionally this implementation supports alignment of nodes top center bottom in case of the vertical layout and left center right in case of the horizontal layout | gtgradabstracttreelayout,"[0, 0, 1, 0, 0, 0]"
488,GtGradAbstractTreeLayout,this is done through calculation of differences in sizes of nodes compared to the largest nodes on the same level as well as the differences in sizes of their parents compared to the largest nodes on the parent level,0,this is done through calculation of differences in sizes of nodes compared to the largest nodes on the same level as well as the differences in sizes of their parents compared to the largest nodes on the parent level | gtgradabstracttreelayout,"[0, 0, 1, 0, 0, 0]"
489,GtGradAbstractTreeLayout,gtgradtreelayout is a superclass of gtgradhorizontaltreelayout and gtgradverticaltreelayout classes and contains generic tree layout methods and definitions of methods the two subclasses need to redefine,0,gtgradtreelayout is a superclass of gtgradhorizontaltreelayout and gtgradverticaltreelayout classes and contains generic tree layout methods and definitions of methods the two subclasses need to redefine | gtgradabstracttreelayout,"[0, 0, 0, 0, 0, 1]"
490,GtGradAbstractTreeLayout,generally the differences between the implementations of the hozitonal and vertical variants are really small revolving around one using or setting the x and the other y coordinates,0,generally the differences between the implementations of the hozitonal and vertical variants are really small revolving around one using or setting the x and the other y coordinates | gtgradabstracttreelayout,"[0, 0, 0, 0, 0, 1]"
492,GtGraphCircleEnclosure,i compute the smallest circle that encloses the specified array of circles,0,i compute the smallest circle that encloses the specified array of circles | gtgraphcircleenclosure,"[0, 0, 1, 0, 0, 0]"
493,GtGraphCircleEnclosure,the enclosing circle is computed using the matou ek sharir welzl http www inf ethz ch personal emo publfiles subexlinprog alg16 96 pdf algorithm,0,the enclosing circle is computed using the matou ek sharir welzl http www inf ethz ch personal emo publfiles subexlinprog alg16 96 pdf algorithm | gtgraphcircleenclosure,"[0, 0, 1, 0, 0, 0]"
495,GtGraphCircleEnclosure,and add circles one by one starting with a larger one,0,and add circles one by one starting with a larger one | gtgraphcircleenclosure,"[0, 1, 0, 0, 0, 0]"
496,GtGraphCircleEnclosure,a circle enclosure is represented by a cyan circle,0,a circle enclosure is represented by a cyan circle | gtgraphcircleenclosure,"[0, 1, 0, 0, 0, 0]"
499,GtGraphCircleEnclosure,example gtgraphcircleenclosureexamples enclosurewithonecircle previewshow gtpreviewfor previewexpanded previewheight 300,0,example gtgraphcircleenclosureexamples enclosurewithonecircle previewshow gtpreviewfor previewexpanded previewheight 300 | gtgraphcircleenclosure,"[0, 1, 0, 0, 0, 0]"
501,GtGraphCircleEnclosure,two circle enclosure is also a special case and can be derived directly by method gtgraphcircleenclosure class enclosure and,0,two circle enclosure is also a special case and can be derived directly by method gtgraphcircleenclosure class enclosure and | gtgraphcircleenclosure,"[0, 1, 0, 0, 0, 0]"
502,GtGraphCircleEnclosure,example gtgraphcircleenclosureexamples enclosurewithtwocircles previewshow gtpreviewfor previewexpanded previewheight 300,0,example gtgraphcircleenclosureexamples enclosurewithtwocircles previewshow gtpreviewfor previewexpanded previewheight 300 | gtgraphcircleenclosure,"[0, 1, 0, 0, 0, 0]"
503,GtGraphCircleEnclosure,three circle enclosure is a special case too,0,three circle enclosure is a special case too | gtgraphcircleenclosure,"[0, 1, 0, 0, 0, 0]"
505,GtGraphCircleEnclosure,let s add the third circle to our enclosure to see the result,0,let s add the third circle to our enclosure to see the result | gtgraphcircleenclosure,"[0, 1, 0, 0, 0, 0]"
506,GtGraphCircleEnclosure,example gtgraphcircleenclosureexamples enclosurewiththreecircles previewshow gtpreviewfor previewexpanded previewheight 300,0,example gtgraphcircleenclosureexamples enclosurewiththreecircles previewshow gtpreviewfor previewexpanded previewheight 300 | gtgraphcircleenclosure,"[0, 1, 0, 0, 0, 0]"
507,GtGraphCircleEnclosure,starting with four circles an enclosure should be computed recursively by building and updating a basis enclosure consisting of one to three circles method gtgraphcircleenclosure class enclosureall,0,starting with four circles an enclosure should be computed recursively by building and updating a basis enclosure consisting of one to three circles method gtgraphcircleenclosure class enclosureall | gtgraphcircleenclosure,"[0, 1, 0, 0, 0, 0]"
508,GtGraphCircleEnclosure,example gtgraphcircleenclosureexamples enclosurewithfourcircles previewshow gtpreviewfor previewexpanded previewheight 300,0,example gtgraphcircleenclosureexamples enclosurewithfourcircles previewshow gtpreviewfor previewexpanded previewheight 300 | gtgraphcircleenclosure,"[0, 1, 0, 0, 0, 0]"
511,GtGraphForceBasedLayout,a roforcebasedlayout is inspired from the code of d3,0,a roforcebasedlayout is inspired from the code of d3 | gtgraphforcebasedlayout,"[0, 0, 0, 1, 0, 0]"
522,GtGraphTreemapSquarify,this is an adapted extract from the paper squarified treemaps mentioned above,0,this is an adapted extract from the paper squarified treemaps mentioned above | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
523,GtGraphTreemapSquarify,suppose we have a rectangle with width example gtgraphtreemaplayoutexamples squarifywithsevennodes label width and height example gtgraphtreemaplayoutexamples squarifywithsevennodes label height and furthermore suppose that this rectangle must be subdivided in seven rectangles with areas example gtgraphtreemaplayoutexamples squarifywithsevennodes label nodevalues,0,suppose we have a rectangle with width example gtgraphtreemaplayoutexamples squarifywithsevennodes label width and height example gtgraphtreemaplayoutexamples squarifywithsevennodes label height and furthermore suppose that this rectangle must be subdivided in seven rectangles with areas example gtgraphtreemaplayoutexamples squarifywithsevennodes label nodevalues | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
524,GtGraphTreemapSquarify,the area will be subdivided as follows,0,the area will be subdivided as follows | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
525,GtGraphTreemapSquarify,example gtgraphtreemaplayoutexamples squarifywithsevennodes nocode codeexpanded false previewexpanded true previewshow gtpreviewfor,0,example gtgraphtreemaplayoutexamples squarifywithsevennodes nocode codeexpanded false previewexpanded true previewshow gtpreviewfor | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
526,GtGraphTreemapSquarify,the first step of our algorithm is to split the initial rectangle,0,the first step of our algorithm is to split the initial rectangle | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
527,GtGraphTreemapSquarify,we choose for a horizontal subdivision because the original rectangle is wider than high,0,we choose for a horizontal subdivision because the original rectangle is wider than high | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
530,GtGraphTreemapSquarify,the aspect ratio of this first rectangle is example gtgraphtreemaplayoutexamples squarifywithsevennodesfirststep label worstvaluerounded,0,the aspect ratio of this first rectangle is example gtgraphtreemaplayoutexamples squarifywithsevennodesfirststep label worstvaluerounded | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
531,GtGraphTreemapSquarify,example gtgraphtreemaplayoutexamples squarifywithsevennodesfirststep previewexpanded true nocode,0,example gtgraphtreemaplayoutexamples squarifywithsevennodesfirststep previewexpanded true nocode | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
532,GtGraphTreemapSquarify,next we add a second rectangle above the first,0,next we add a second rectangle above the first | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
533,GtGraphTreemapSquarify,the worst aspect ratio improves to example gtgraphtreemaplayoutexamples squarifywithsevennodessecondstep label worstvaluerounded,0,the worst aspect ratio improves to example gtgraphtreemaplayoutexamples squarifywithsevennodessecondstep label worstvaluerounded | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
534,GtGraphTreemapSquarify,example gtgraphtreemaplayoutexamples squarifywithsevennodessecondstep previewexpanded true nocode,0,example gtgraphtreemaplayoutexamples squarifywithsevennodessecondstep previewexpanded true nocode | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
535,GtGraphTreemapSquarify,however if we add the next area 4 above these original rectangles the aspect ratio of this rectangle is example gtgraphtreemaplayoutexamples squarifywithsevennodesthirdstep label worstvaluerounded,0,however if we add the next area 4 above these original rectangles the aspect ratio of this rectangle is example gtgraphtreemaplayoutexamples squarifywithsevennodesthirdstep label worstvaluerounded | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
537,GtGraphTreemapSquarify,therefore we decide that we have reached an optimum for the left half in step two and start processing the right half,0,therefore we decide that we have reached an optimum for the left half in step two and start processing the right half | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
538,GtGraphTreemapSquarify,the initial subdivision we choose here is vertical because the rectangle is higher than wider,0,the initial subdivision we choose here is vertical because the rectangle is higher than wider | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
540,GtGraphTreemapSquarify,example gtgraphtreemaplayoutexamples squarifywithsevennodesfourthstep previewexpanded true nocode,0,example gtgraphtreemaplayoutexamples squarifywithsevennodesfourthstep previewexpanded true nocode | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
542,GtGraphTreemapSquarify,the worst aspect ratio decreases from example gtgraphtreemaplayoutexamples squarifywithsevennodesfourthstep label worstvaluerounded to example gtgraphtreemaplayoutexamples squarifywithsevennodesfifthstep label worstvaluerounded,0,the worst aspect ratio decreases from example gtgraphtreemaplayoutexamples squarifywithsevennodesfourthstep label worstvaluerounded to example gtgraphtreemaplayoutexamples squarifywithsevennodesfifthstep label worstvaluerounded | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
544,GtGraphTreemapSquarify,addition of the next area 2 however does not improve the result as the worst aspect ratio increases from example gtgraphtreemaplayoutexamples squarifywithsevennodesfifthstep label worstvaluerounded to example gtgraphtreemaplayoutexamples squarifywithsevennodessixthstep label worstvaluerounded,0,addition of the next area 2 however does not improve the result as the worst aspect ratio increases from example gtgraphtreemaplayoutexamples squarifywithsevennodesfifthstep label worstvaluerounded to example gtgraphtreemaplayoutexamples squarifywithsevennodessixthstep label worstvaluerounded | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
545,GtGraphTreemapSquarify,example gtgraphtreemaplayoutexamples squarifywithsevennodessixthstep previewexpanded true nocode,0,example gtgraphtreemaplayoutexamples squarifywithsevennodessixthstep previewexpanded true nocode | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
546,GtGraphTreemapSquarify,so we reject the previous step and start to fill the right top partition,0,so we reject the previous step and start to fill the right top partition | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
549,GtGraphTreemapSquarify,the final result is the following,0,the final result is the following | gtgraphtreemapsquarify,"[0, 1, 0, 0, 0, 0]"
554,GtGraphTreemapSquarifyLandscapeRectangle,i am used by class gtgraphtreemapsquarifystep,0,i am used by class gtgraphtreemapsquarifystep | gtgraphtreemapsquarifylandscaperectangle,"[0, 0, 0, 0, 0, 1]"
556,GtGraphTreemapSquarifyLandscapeRectangle,example gtgraphtreemaplayoutexamples squarifywithfournodesfirstarea nocode,0,example gtgraphtreemaplayoutexamples squarifywithfournodesfirstarea nocode | gtgraphtreemapsquarifylandscaperectangle,"[0, 1, 0, 0, 0, 0]"
557,GtLibraryInstaller,i am the installer of shared libraries along side image or vm,0,i am the installer of shared libraries along side image or vm | gtlibraryinstaller,"[0, 1, 0, 1, 0, 0]"
559,GtLibraryInstaller,installer,0,installer | gtlibraryinstaller,"[0, 1, 0, 0, 0, 0]"
560,GtLibraryInstaller,extension,0,extension | gtlibraryinstaller,"[0, 1, 0, 0, 0, 0]"
562,GtLibraryInstallerLogAnnouncement,the ui may want to display them in a transcript,0,the ui may want to display them in a transcript | gtlibraryinstallerlogannouncement,"[0, 0, 0, 0, 0, 1]"
564,GtPhlowForwarderView,i forward a view definition to another object,0,i forward a view definition to another object | gtphlowforwarderview,"[0, 0, 1, 0, 0, 0]"
566,GtPhlowForwarderView,i am also useful in situtions when the object is created only for the purpose of the view,0,i am also useful in situtions when the object is created only for the purpose of the view | gtphlowforwarderview,"[0, 0, 1, 0, 0, 0]"
570,GtPlotterAxisProjection,given a point 20 30 as a domain object and euclidian coordinate system,0,given a point 20 30 as a domain object and euclidian coordinate system | gtplotteraxisprojection,"[0, 1, 0, 0, 0, 0]"
571,GtPlotterAxisProjection,then projection of that point on continuous x axis would be 20 and projection on y axis would be 30,0,then projection of that point on continuous x axis would be 20 and projection on y axis would be 30 | gtplotteraxisprojection,"[0, 1, 0, 0, 0, 0]"
579,GtRemoteInspector,gtremoteinspector provides a mechanism for remote viewing of objects over a rest json api,0,gtremoteinspector provides a mechanism for remote viewing of objects over a rest json api | gtremoteinspector,"[0, 0, 1, 0, 0, 0]"
580,GtRemoteInspector,public api and key messages,0,public api and key messages | gtremoteinspector,"[0, 0, 0, 0, 1, 0]"
582,GtRemoteInspector,message two,0,message two | gtremoteinspector,"[0, 0, 0, 0, 1, 0]"
583,GtRemoteInspector,for bonus points how to create instances,0,for bonus points how to create instances | gtremoteinspector,"[0, 0, 0, 0, 1, 0]"
584,GtRlBaselineTagReleaseStrategy,i am a release strategy that uses the current loaded tag for a repository as the version number,0,i am a release strategy that uses the current loaded tag for a repository as the version number | gtrlbaselinetagreleasestrategy,"[0, 0, 1, 1, 0, 0]"
586,GtRlBaselineTagReleaseStrategy,the version number already exists in the repository,0,the version number already exists in the repository | gtrlbaselinetagreleasestrategy,"[0, 0, 1, 0, 0, 0]"
587,GtRlBaselineTagReleaseStrategy,as i am passive i do not export any metadata,0,as i am passive i do not export any metadata | gtrlbaselinetagreleasestrategy,"[1, 0, 0, 0, 0, 0]"
591,GtRlBaselineTagReleaseStrategy,see method gtrlbaselinetagreleasestrategy assertcompatiblewithrepository for assertions that check when i can be used,0,see method gtrlbaselinetagreleasestrategy assertcompatiblewithrepository for assertions that check when i can be used | gtrlbaselinetagreleasestrategy,"[0, 1, 0, 0, 0, 0]"
592,GtRlCommitAndTagReleaseAction,i execute a commit of the current changes staged for commit and push a tag corresponding to the version number of the repository release,0,i execute a commit of the current changes staged for commit and push a tag corresponding to the version number of the repository release | gtrlcommitandtagreleaseaction,"[0, 0, 1, 0, 0, 0]"
593,GtRlCommitAndTagReleaseAction,i only work with strategies of type class gtrlsemantictagreleasestrategy,0,i only work with strategies of type class gtrlsemantictagreleasestrategy | gtrlcommitandtagreleaseaction,"[1, 0, 0, 0, 0, 1]"
594,GtRlCommitAndTagReleaseAction,see method gtrlsemantictagreleasestrategy commitandtagrelease for more implementation details,0,see method gtrlsemantictagreleasestrategy commitandtagrelease for more implementation details | gtrlcommitandtagreleaseaction,"[1, 0, 0, 0, 0, 0]"
595,GtRlMajorVersionComputation,i increment the major number of a semantic version,0,i increment the major number of a semantic version | gtrlmajorversioncomputation,"[0, 0, 1, 0, 0, 0]"
596,GtRlMajorVersionComputation,i reset both the patch and minor parts of the version number to zero,0,i reset both the patch and minor parts of the version number to zero | gtrlmajorversioncomputation,"[0, 0, 1, 0, 0, 0]"
597,GtRlMajorVersionComputation,if the symbolic version number on which i am applied has a patch or a minor number i reset them to zero in the created version number,0,if the symbolic version number on which i am applied has a patch or a minor number i reset them to zero in the created version number | gtrlmajorversioncomputation,"[1, 0, 0, 0, 0, 0]"
598,GtRlNode,i am an abstraction for a type of dependency in the loading configuration of a system,0,i am an abstraction for a type of dependency in the loading configuration of a system | gtrlnode,"[0, 0, 1, 1, 0, 0]"
599,GtRlReleaseConfiguration,i model options for configuring how releases are performed,0,i model options for configuring how releases are performed | gtrlreleaseconfiguration,"[0, 0, 1, 0, 0, 0]"
600,GtRlReleaseConfiguration,i am used by a class gtrlreleasebuilder to create a new release,0,i am used by a class gtrlreleasebuilder to create a new release | gtrlreleaseconfiguration,"[0, 0, 0, 0, 0, 1]"
601,GtRlReleaseConfiguration,users can configure default options that apply to all repositories from a release or configure options for individual repositories,0,users can configure default options that apply to all repositories from a release or configure options for individual repositories | gtrlreleaseconfiguration,"[0, 0, 0, 0, 0, 1]"
602,GtRlReleaseConfiguration,my main api methods for setting other default options are,0,my main api methods for setting other default options are | gtrlreleaseconfiguration,"[0, 0, 0, 0, 1, 0]"
603,GtRlReleaseConfiguration,method gtrlreleaseconfiguration defaultreleasebranchname the branch name on which to perform the release,0,method gtrlreleaseconfiguration defaultreleasebranchname the branch name on which to perform the release | gtrlreleaseconfiguration,"[0, 0, 0, 0, 1, 0]"
605,GtRlReleaseConfiguration,these are subclasses of class gtrlsemanticversioncomputation,0,these are subclasses of class gtrlsemanticversioncomputation | gtrlreleaseconfiguration,"[0, 0, 0, 0, 1, 0]"
606,GtRlReleaseConfiguration,method gtrlreleaseconfiguration defaultversionnumber the version number to use in case there are no previous releases in a repository,0,method gtrlreleaseconfiguration defaultversionnumber the version number to use in case there are no previous releases in a repository | gtrlreleaseconfiguration,"[0, 0, 0, 0, 1, 0]"
607,GtRlReleaseConfiguration,method gtrlreleaseconfiguration forcenewrelease force a new release in a repository even if there no new changes in that repository and all dependencies did not change,0,method gtrlreleaseconfiguration forcenewrelease force a new release in a repository even if there no new changes in that repository and all dependencies did not change | gtrlreleaseconfiguration,"[0, 0, 0, 0, 1, 0]"
608,GtSnippetRequest,i am sent by snippet widget looks when they request to receive a snippet model from the widget model,0,i am sent by snippet widget looks when they request to receive a snippet model from the widget model | gtsnippetrequest,"[0, 0, 1, 1, 0, 0]"
610,SpartaCairoTextMetrics,because text extents are in user space coordinates they are mostly but not entirely independent of the current transformation matrix,0,because text extents are in user space coordinates they are mostly but not entirely independent of the current transformation matrix | spartacairotextmetrics,"[1, 0, 0, 0, 0, 0]"
611,SpartaCairoTextMetrics,if you call cairo scale cr 20 20 text will be drawn twice as big but the reported text extents will not be doubled,0,if you call cairo scale cr 20 20 text will be drawn twice as big but the reported text extents will not be doubled | spartacairotextmetrics,"[1, 0, 0, 0, 0, 0]"
612,SpartaCairoTextMetrics,they will change slightly due to hinting so you can t assume that metrics are independent of the transformation matrix but otherwise will remain unchanged,0,they will change slightly due to hinting so you can t assume that metrics are independent of the transformation matrix but otherwise will remain unchanged | spartacairotextmetrics,"[1, 0, 0, 0, 0, 0]"
614,SpartaCanvas,i represent a sparta canvas and provide an api to perform various drawing operations,0,i represent a sparta canvas and provide an api to perform various drawing operations | spartacanvas,"[0, 0, 0, 1, 0, 0]"
615,SpartaCanvas,i define an abstract api of sparta canvas that all concrete implementations must have,0,i define an abstract api of sparta canvas that all concrete implementations must have | spartacanvas,"[0, 0, 1, 0, 0, 0]"
616,SpartaCanvas,overview,0,overview | spartacanvas,"[0, 0, 1, 0, 0, 0]"
617,SpartaCanvas,my main responsibility is to create and provide backend specific builders and various objects,0,my main responsibility is to create and provide backend specific builders and various objects | spartacanvas,"[0, 0, 1, 0, 0, 0]"
619,SpartaCanvas,for example if one wants to fill a path with a paint she needs to send fill message to canvas to get a fill builder painter,0,for example if one wants to fill a path with a paint she needs to send fill message to canvas to get a fill builder painter | spartacanvas,"[0, 1, 0, 0, 0, 0]"
622,SpartaCanvas,i m also responsible for creation of filter primitives filter types that are used with filter operation,0,i m also responsible for creation of filter primitives filter types that are used with filter operation | spartacanvas,"[0, 0, 1, 0, 0, 0]"
623,SpartaCanvas,they can be found in filters protocol,0,they can be found in filters protocol | spartacanvas,"[0, 0, 1, 0, 0, 0]"
626,SpartaCanvas,public api and key messages,0,public api and key messages | spartacanvas,"[0, 0, 0, 0, 1, 0]"
628,SpartaCanvas,stroke create a builder of stroke drawing operation,0,stroke create a builder of stroke drawing operation | spartacanvas,"[0, 0, 0, 0, 1, 0]"
632,SpartaCanvas,transform create a builder to transform canvas,0,transform create a builder to transform canvas | spartacanvas,"[0, 0, 0, 0, 1, 0]"
635,SpartaCanvas,filter create a builder of filter drawing operation,0,filter create a builder of filter drawing operation | spartacanvas,"[0, 0, 0, 0, 1, 0]"
637,SpartaCanvas,bitmap create a bitmap factory,0,bitmap create a bitmap factory | spartacanvas,"[0, 0, 0, 0, 1, 0]"
639,SpartaCanvas,filters create a common filters factory,0,filters create a common filters factory | spartacanvas,"[0, 0, 0, 0, 1, 0]"
641,SpartaCanvas,similar to create an empty canvas of size anextent and of the same type and format,0,similar to create an empty canvas of size anextent and of the same type and format | spartacanvas,"[0, 0, 0, 0, 1, 0]"
642,SpartaCanvas,asform to rasterize myself and return resulting image as form,0,asform to rasterize myself and return resulting image as form | spartacanvas,"[0, 0, 0, 0, 1, 0]"
646,SpartaCanvas,canvas spartacanvas extent 400 250,0,canvas spartacanvas extent 400 250 | spartacanvas,"[0, 1, 0, 1, 0, 0]"
649,SpartaCanvas,create a triangle vector path,0,create a triangle vector path | spartacanvas,"[0, 1, 0, 0, 0, 0]"
655,SpartaCanvas,close,0,close | spartacanvas,"[0, 1, 0, 0, 0, 0]"
657,SpartaCanvas,https github com syrel sparta raw master images spartacanvas 02 triangle path png label trianglepath,0,https github com syrel sparta raw master images spartacanvas 02 triangle path png label trianglepath | spartacanvas,"[0, 1, 0, 1, 0, 0]"
663,SpartaCanvas,stops 0 color red,0,stops 0 color red | spartacanvas,"[0, 1, 0, 0, 0, 0]"
679,SpartaCanvas,stroke triangle with blue color,0,stroke triangle with blue color | spartacanvas,"[0, 1, 0, 0, 0, 0]"
685,SpartaCanvas,draw,0,draw | spartacanvas,"[0, 1, 0, 0, 0, 0]"
690,SpartaCanvas,create a gaussian blur filter,0,create a gaussian blur filter | spartacanvas,"[0, 1, 0, 0, 0, 0]"
692,SpartaCanvas,blur canvas gaussianblurfilter,0,blur canvas gaussianblurfilter | spartacanvas,"[0, 1, 0, 0, 0, 0]"
696,SpartaCanvas,canvas filter,0,canvas filter | spartacanvas,"[0, 1, 0, 0, 0, 0]"
699,SpartaCanvas,draw,0,draw | spartacanvas,"[0, 1, 0, 0, 0, 0]"
702,SpartaLine,i represent a line,0,i represent a line | spartaline,"[0, 0, 0, 1, 0, 0]"
703,SpartaLine,i am meant to be polymorphic with rectangle and path and can be used as path in various operations except clipping,0,i am meant to be polymorphic with rectangle and path and can be used as path in various operations except clipping | spartaline,"[0, 0, 1, 0, 0, 0]"
704,SpartaLine,public api and key messages,0,public api and key messages | spartaline,"[0, 0, 0, 0, 1, 0]"
705,SpartaLine,from get my start point,0,from get my start point | spartaline,"[0, 0, 0, 0, 1, 0]"
706,SpartaLine,to get my end point,0,to get my end point | spartaline,"[0, 0, 0, 0, 1, 0]"
708,SpUserFontSource,i represent a font face source and know how to retrieve font contents from it,0,i represent a font face source and know how to retrieve font contents from it | spuserfontsource,"[0, 0, 1, 1, 0, 0]"
709,SpUserFontSourceBuffer,i am a buffer source,0,i am a buffer source | spuserfontsourcebuffer,"[0, 0, 0, 1, 0, 0]"
710,TBlEventTarget,i implement a basic infrastructure of event management,0,i implement a basic infrastructure of event management | tbleventtarget,"[0, 0, 1, 0, 0, 0]"
711,TSpartaCompositeFilter,i am a composite filter and can have an arbitrary amount of input soures,0,i am a composite filter and can have an arbitrary amount of input soures | tspartacompositefilter,"[0, 0, 0, 1, 0, 0]"
714,TSpartaCompositeFilter,merge canvas compositefilter,0,merge canvas compositefilter | tspartacompositefilter,"[0, 1, 0, 0, 0, 0]"
716,TSpartaCompositeFilter,source filter1,0,source filter1 | tspartacompositefilter,"[0, 1, 0, 0, 0, 0]"
717,TSpartaCompositeFilter,source filter2,0,source filter2 | tspartacompositefilter,"[0, 1, 0, 0, 0, 0]"
718,TSpartaCompositeFilter,source filter3,0,source filter3 | tspartacompositefilter,"[0, 1, 0, 0, 0, 0]"
719,TSpartaCompositeFilter,source filter4,0,source filter4 | tspartacompositefilter,"[0, 1, 0, 0, 0, 0]"
720,TSpartaPaint,tspartapaint,0,tspartapaint | tspartapaint,"[0, 0, 1, 0, 0, 0]"
721,TSpartaPaint,i define an api of a paint,0,i define an api of a paint | tspartapaint,"[0, 0, 1, 0, 0, 0]"
722,TSpartaPaint,overview,0,overview | tspartapaint,"[0, 0, 1, 0, 0, 0]"
725,TSpartaPaint,sparta canvas provides a paint builder that should be used to build concerete paints,0,sparta canvas provides a paint builder that should be used to build concerete paints | tspartapaint,"[0, 0, 0, 0, 0, 1]"
727,TSpartaPaint,i define an api of an abstract paint,0,i define an api of an abstract paint | tspartapaint,"[0, 0, 0, 0, 1, 0]"
728,TSpartaPaint,transformation to get current transformation matrix can not be mil,0,transformation to get current transformation matrix can not be mil | tspartapaint,"[0, 0, 0, 0, 1, 0]"
729,TSpartaPaint,transformation set new paint transformation,0,transformation set new paint transformation | tspartapaint,"[0, 0, 0, 0, 1, 0]"
730,TSpartaPaint,if not set supposed to be identity,0,if not set supposed to be identity | tspartapaint,"[0, 0, 0, 0, 1, 0]"
731,TSpartaPaint,clamp do not repeat me,0,clamp do not repeat me | tspartapaint,"[0, 0, 0, 0, 1, 0]"
732,TSpartaPaint,reflect mirror the image,0,reflect mirror the image | tspartapaint,"[0, 0, 0, 0, 1, 0]"
733,TSpartaPaint,repeat repeat in both x and y axis,0,repeat repeat in both x and y axis | tspartapaint,"[0, 0, 0, 0, 1, 0]"
734,TSpartaPaint,repeatx repeat only x axis,0,repeatx repeat only x axis | tspartapaint,"[0, 0, 0, 0, 1, 0]"
735,TSpartaPaint,repeaty repeat only y axis,0,repeaty repeat only y axis | tspartapaint,"[0, 0, 0, 0, 1, 0]"
736,TSpartaPaint,rotatebydegrees rotate me by amount of degrees clockwise,0,rotatebydegrees rotate me by amount of degrees clockwise | tspartapaint,"[0, 0, 0, 0, 1, 0]"
737,TSpartaPaint,rotatebyradians rotate me by amount of radians clockwise,0,rotatebyradians rotate me by amount of radians clockwise | tspartapaint,"[0, 0, 0, 0, 1, 0]"
738,TSpartaPaint,scaleby scale me by a factor a point or a number,0,scaleby scale me by a factor a point or a number | tspartapaint,"[0, 0, 0, 0, 1, 0]"
739,TSpartaPaint,translateby translate me by a point or a number,0,translateby translate me by a point or a number | tspartapaint,"[0, 0, 0, 0, 1, 0]"
741,TSpartaPaint,generally a paint is not meant to be an external object however for additional flexibility i am implemented as a trait,0,generally a paint is not meant to be an external object however for additional flexibility i am implemented as a trait | tspartapaint,"[1, 0, 0, 0, 0, 0]"
742,TSpartaStrokeOptions,i define an api of stroke options object,0,i define an api of stroke options object | tspartastrokeoptions,"[0, 0, 1, 0, 1, 0]"
750,XdDocumentsExamples,how to create base64 string,0,how to create base64 string | xddocumentsexamples,"[0, 1, 0, 0, 0, 0]"
752,XdDocumentsExamples,adocument gt2documentexamples new documentwithexistingclass,0,adocument gt2documentexamples new documentwithexistingclass | xddocumentsexamples,"[0, 1, 0, 0, 0, 0]"
753,XdDocumentsExamples,anxdfile adocument savetoxdoc,0,anxdfile adocument savetoxdoc | xddocumentsexamples,"[0, 1, 0, 0, 0, 0]"
754,XdDocumentsExamples,znbase64encoder new,0,znbase64encoder new | xddocumentsexamples,"[0, 1, 0, 0, 0, 0]"
757,FameOppositeClassNotExistRule,check if the opposite class declared in a pragma mseproperty type opposite is defined,0,check if the opposite class declared in a pragma mseproperty type opposite is defined | fameoppositeclassnotexistrule,"[0, 0, 1, 0, 0, 0]"
