index,class,comment_sentence,partition,combo,labels
1,AccessMixin,functionality,0,functionality | accessmixin,"[0, 0, 0, 0, 1]"
1545,Option,param multiple if this is set to true then the argument is accepted,0,param multiple if this is set to true then the argument is accepted | option,"[0, 1, 0, 0, 0]"
1546,Option,multiple times and recorded,0,multiple times and recorded | option,"[0, 1, 0, 0, 0]"
1548,Option,in how it works but supports arbitrary number of,0,in how it works but supports arbitrary number of | option,"[0, 1, 0, 0, 0]"
1550,Option,param count this flag makes an option increment an integer,0,param count this flag makes an option increment an integer | option,"[0, 1, 0, 0, 0]"
1552,Option,parameter will be pulled from an environment,0,parameter will be pulled from an environment | option,"[0, 1, 0, 0, 0]"
1554,Option,context,0,context | option,"[0, 1, 0, 0, 0]"
1555,Option,param help the help string,0,param help the help string | option,"[0, 1, 0, 0, 0]"
1557,PacifyFlushWrapper,this wrapper is used to catch and suppress brokenpipeerrors resulting,0,this wrapper is used to catch and suppress brokenpipeerrors resulting | pacifyflushwrapper,"[0, 0, 0, 1, 1]"
1566,PacifyFlushWrapper,pipe all calls and attributes are proxied,0,pipe all calls and attributes are proxied | pacifyflushwrapper,"[0, 0, 0, 1, 0]"
1567,PackageIndex,represents a package index and provides easier access to endpoints,0,represents a package index and provides easier access to endpoints | packageindex,"[0, 0, 0, 0, 1]"
1568,ParseError,this error occurs when the parser encounters a syntax error,0,this error occurs when the parser encounters a syntax error | parseerror,"[0, 0, 0, 0, 1]"
1569,ParseError,in the toml being parsed,0,in the toml being parsed | parseerror,"[0, 0, 0, 0, 1]"
1572,ParserElement,abstract base level parser element class,0,abstract base level parser element class | parserelement,"[0, 0, 0, 0, 1]"
1574,ParseResults,structured parse results to provide multiple means of access to,0,structured parse results to provide multiple means of access to | parseresults,"[0, 0, 0, 0, 1]"
1575,ParseResults,the parsed data,0,the parsed data | parseresults,"[1, 0, 0, 0, 1]"
1576,ParseResults,as a list len results,0,as a list len results | parseresults,"[1, 0, 0, 0, 0]"
1578,ParseResults,by attribute results,0,by attribute results | parseresults,"[1, 0, 0, 0, 0]"
1579,ParseResults,resultsname see class parserelement setresultsname,0,resultsname see class parserelement setresultsname | parseresults,"[1, 0, 0, 0, 0]"
1582,ParseResults,date str integer setresultsname year,0,date str integer setresultsname year | parseresults,"[1, 0, 1, 0, 0]"
1583,ParseResults,integer setresultsname month,0,integer setresultsname month | parseresults,"[1, 0, 1, 0, 0]"
1584,ParseResults,integer setresultsname day,0,integer setresultsname day | parseresults,"[1, 0, 1, 0, 0]"
1585,ParseResults,equivalent form,0,equivalent form | parseresults,"[1, 0, 1, 0, 0]"
1586,ParseResults,date str integer year integer month integer day,0,date str integer year integer month integer day | parseresults,"[1, 0, 1, 0, 0]"
1587,ParseResults,parsestring returns a parseresults object,0,parsestring returns a parseresults object | parseresults,"[1, 0, 1, 0, 0]"
1588,ParseResults,result date str parsestring 1999 12 31,0,result date str parsestring 1999 12 31 | parseresults,"[1, 0, 1, 0, 0]"
1589,ParseResults,def test s fn repr,0,def test s fn repr | parseresults,"[1, 0, 1, 0, 0]"
1590,ParseResults,print s s s fn eval s,0,print s s s fn eval s | parseresults,"[1, 0, 1, 0, 0]"
1591,ParseResults,test list result,0,test list result | parseresults,"[1, 0, 1, 0, 0]"
1592,ParseResults,test result 0,0,test result 0 | parseresults,"[1, 0, 1, 0, 0]"
1593,ParseResults,test result month,0,test result month | parseresults,"[1, 0, 1, 0, 0]"
1594,ParseResults,test result day,0,test result day | parseresults,"[1, 0, 1, 0, 0]"
1595,ParseResults,test month in result,0,test month in result | parseresults,"[1, 0, 1, 0, 0]"
1596,ParseResults,test minutes in result,0,test minutes in result | parseresults,"[1, 0, 1, 0, 0]"
1597,ParseResults,test result dump str,0,test result dump str | parseresults,"[1, 0, 1, 0, 0]"
1599,ParseResults,list result 1999 12 31,0,list result 1999 12 31 | parseresults,"[1, 0, 0, 0, 0]"
1600,ParseResults,result 0 1999,0,result 0 1999 | parseresults,"[1, 0, 0, 0, 0]"
1602,ParseResults,result day 31,0,result day 31 | parseresults,"[1, 0, 0, 0, 0]"
1603,ParseResults,month in result true,0,month in result true | parseresults,"[1, 0, 0, 0, 0]"
1605,ParseResults,result dump 1999 12 31,0,result dump 1999 12 31 | parseresults,"[1, 0, 0, 0, 0]"
1606,ParseResults,day 31,0,day 31 | parseresults,"[1, 0, 0, 0, 0]"
1607,ParseResults,month 12,0,month 12 | parseresults,"[1, 0, 0, 0, 0]"
1608,ParseResults,year 1999,0,year 1999 | parseresults,"[1, 0, 0, 0, 0]"
1610,Path,different checks,0,different checks | path,"[0, 0, 0, 0, 1]"
1611,Path,first of all instead of returning an open file,0,first of all instead of returning an open file | path,"[0, 0, 1, 0, 0]"
1615,Path,param exists if set to true the file or directory needs to exist for,0,param exists if set to true the file or directory needs to exist for | path,"[0, 1, 0, 0, 0]"
1616,Path,this value to be valid,0,this value to be valid | path,"[0, 1, 0, 0, 0]"
1619,Path,silently skipped,0,silently skipped | path,"[0, 1, 0, 0, 0]"
1626,Path,it,0,it | path,"[0, 1, 0, 0, 0]"
1627,Path,will not expand a tilde prefix as this is,0,will not expand a tilde prefix as this is | path,"[0, 1, 0, 0, 0]"
1629,Path,param allow dash if this is set to true a single dash to indicate,0,param allow dash if this is set to true a single dash to indicate | path,"[0, 1, 0, 0, 0]"
1635,PoolManager,allows for arbitrary requests while transparently keeping track of,0,allows for arbitrary requests while transparently keeping track of | poolmanager,"[0, 0, 0, 0, 1]"
1642,PoolManager,explicitly,0,explicitly | poolmanager,"[0, 1, 0, 0, 0]"
1645,PoolManager,class urllib3 connectionpool connectionpool instances,0,class urllib3 connectionpool connectionpool instances | poolmanager,"[0, 1, 0, 0, 0]"
1647,PoolManager,manager poolmanager num pools 2,0,manager poolmanager num pools 2 | poolmanager,"[1, 0, 0, 0, 0]"
1649,PoolManager,r manager request get http yahoo com,0,r manager request get http yahoo com | poolmanager,"[1, 0, 0, 0, 0]"
1652,PrefixLoader,to a prefix,0,to a prefix | prefixloader,"[0, 0, 0, 0, 1]"
1653,PrefixLoader,the prefix is delimited from the template by a slash per,0,the prefix is delimited from the template by a slash per | prefixloader,"[1, 0, 0, 1, 0]"
1654,PrefixLoader,default which can be changed by setting the delimiter argument to,0,default which can be changed by setting the delimiter argument to | prefixloader,"[1, 0, 0, 1, 0]"
1655,PrefixLoader,something else,0,something else | prefixloader,"[1, 0, 0, 1, 0]"
1656,PrefixLoader,loader prefixloader,0,loader prefixloader | prefixloader,"[1, 0, 0, 0, 0]"
1659,PrefixLoader,by loading app1 index html the file from the app1 package is loaded,0,by loading app1 index html the file from the app1 package is loaded | prefixloader,"[1, 0, 0, 0, 0]"
1661,ProcessedTraceback,holds a jinja preprocessed traceback for printing or reraising,0,holds a jinja preprocessed traceback for printing or reraising | processedtraceback,"[0, 0, 0, 0, 1]"
1664,Request,a user created class request request object,0,a user created class request request object | request,"[0, 0, 0, 0, 1]"
1668,Request,param headers dictionary of headers to send,0,param headers dictionary of headers to send | request,"[0, 1, 0, 0, 0]"
1669,Request,param files dictionary of filename fileobject files to multipart upload,0,param files dictionary of filename fileobject files to multipart upload | request,"[0, 1, 0, 0, 0]"
1670,Request,param data the body to attach to the request,0,param data the body to attach to the request | request,"[0, 1, 0, 0, 0]"
1671,Request,if a dictionary or,0,if a dictionary or | request,"[0, 1, 0, 0, 0]"
1672,Request,list of tuples key value is provided form encoding will,0,list of tuples key value is provided form encoding will | request,"[0, 1, 0, 0, 0]"
1673,Request,take place,0,take place | request,"[0, 1, 0, 0, 0]"
1674,Request,param json json for the body to attach to the request if files or data is not specified,0,param json json for the body to attach to the request if files or data is not specified | request,"[0, 1, 0, 0, 0]"
1676,Request,if a dictionary or,0,if a dictionary or | request,"[0, 1, 0, 0, 0]"
1679,Request,param auth auth handler or user pass tuple,0,param auth auth handler or user pass tuple | request,"[0, 1, 0, 0, 0]"
1680,Request,param cookies dictionary or cookiejar of cookies to attach to this request,0,param cookies dictionary or cookiejar of cookies to attach to this request | request,"[0, 1, 0, 0, 0]"
1685,Request,req requests request get https httpbin org get,0,req requests request get https httpbin org get | request,"[1, 0, 0, 0, 0]"
1687,Request,preparedrequest get,0,preparedrequest get | request,"[1, 0, 0, 0, 0]"
1689,RequirementUninstaller,a context manager to remove a package for the inner block,0,a context manager to remove a package for the inner block | requirementuninstaller,"[0, 0, 0, 0, 1]"
1690,RequirementUninstaller,this uses uninstallpathset to control the workflow,0,this uses uninstallpathset to control the workflow | requirementuninstaller,"[0, 0, 0, 1, 0]"
1691,RequirementUninstaller,if the inner block,0,if the inner block | requirementuninstaller,"[0, 0, 0, 1, 0]"
1692,RequirementUninstaller,exits correctly the uninstallation is committed otherwise rolled back,0,exits correctly the uninstallation is committed otherwise rolled back | requirementuninstaller,"[0, 0, 0, 1, 0]"
1693,RequiresPythonCache,cache a candidate s requires python information,0,cache a candidate s requires python information | requirespythoncache,"[0, 0, 0, 0, 1]"
1696,Resource,not normally instantiated by user code but rather by a,0,not normally instantiated by user code but rather by a | resource,"[0, 0, 1, 0, 0]"
1697,Resource,class resourcefinder which manages the resource,0,class resourcefinder which manages the resource | resource,"[0, 0, 1, 0, 0]"
1698,ResourceFinder,resource finder for file system resources,0,resource finder for file system resources | resourcefinder,"[0, 0, 0, 0, 1]"
1699,ResourceManager,manage resource extraction and packages,0,manage resource extraction and packages | resourcemanager,"[0, 0, 0, 0, 1]"
1702,Retry,retry configuration,0,retry configuration | retry,"[0, 0, 0, 0, 1]"
1704,Retry,they can be safely reused,0,they can be safely reused | retry,"[0, 0, 0, 1, 0]"
1705,Retry,retries can be defined as a default for a pool,0,retries can be defined as a default for a pool | retry,"[1, 0, 0, 0, 0]"
1706,Retry,retries retry connect 5 read 2 redirect 5,0,retries retry connect 5 read 2 redirect 5 | retry,"[1, 0, 0, 0, 0]"
1708,Retry,response http request get http example com,0,response http request get http example com | retry,"[1, 0, 0, 0, 0]"
1711,Retry,param int total,0,param int total | retry,"[0, 1, 0, 0, 0]"
1712,Retry,total number of retries to allow,0,total number of retries to allow | retry,"[0, 1, 0, 0, 0]"
1716,Retry,it s a good idea to set this to some sensibly high value to,0,it s a good idea to set this to some sensibly high value to | retry,"[0, 1, 0, 0, 0]"
1718,Retry,set to 0 to fail on the first retry,0,set to 0 to fail on the first retry | retry,"[0, 1, 0, 0, 0]"
1719,Retry,set to false to disable and imply raise on redirect false,0,set to false to disable and imply raise on redirect false | retry,"[0, 1, 0, 0, 0]"
1722,Retry,these are errors raised before the request is sent to the remote server,0,these are errors raised before the request is sent to the remote server | retry,"[0, 1, 0, 0, 0]"
1723,Retry,set to 0 to fail on the first retry of this type,0,set to 0 to fail on the first retry of this type | retry,"[0, 1, 0, 0, 0]"
1725,Retry,how many times to retry on read errors,0,how many times to retry on read errors | retry,"[0, 1, 0, 0, 0]"
1726,Retry,these errors are raised after the request was sent to the server so the,0,these errors are raised after the request was sent to the server so the | retry,"[0, 1, 0, 0, 0]"
1727,Retry,request may have side effects,0,request may have side effects | retry,"[0, 1, 0, 0, 0]"
1728,Retry,set to 0 to fail on the first retry of this type,0,set to 0 to fail on the first retry of this type | retry,"[0, 1, 0, 0, 0]"
1729,Retry,param int redirect,0,param int redirect | retry,"[0, 1, 0, 0, 0]"
1731,Retry,limit this to avoid infinite redirect,0,limit this to avoid infinite redirect | retry,"[0, 1, 0, 0, 0]"
1732,Retry,loops,0,loops | retry,"[0, 1, 0, 0, 0]"
1733,Retry,a redirect is a http response with a status code 301 302 303 307 or,0,a redirect is a http response with a status code 301 302 303 307 or | retry,"[0, 1, 0, 0, 0]"
1734,Retry,308,0,308 | retry,"[0, 1, 0, 0, 0]"
1736,Retry,set to false to disable and imply raise on redirect false,0,set to false to disable and imply raise on redirect false | retry,"[0, 1, 0, 0, 0]"
1737,Retry,param int status,0,param int status | retry,"[0, 1, 0, 0, 0]"
1738,Retry,how many times to retry on bad status codes,0,how many times to retry on bad status codes | retry,"[0, 1, 0, 0, 0]"
1739,Retry,these are retries made on responses where status code matches,0,these are retries made on responses where status code matches | retry,"[0, 1, 0, 0, 0]"
1740,Retry,status forcelist,0,status forcelist | retry,"[0, 1, 0, 0, 0]"
1743,Retry,set of uppercased http method verbs that we should retry on,0,set of uppercased http method verbs that we should retry on | retry,"[0, 1, 0, 0, 0]"
1744,Retry,by default we only retry on methods which are considered to be,0,by default we only retry on methods which are considered to be | retry,"[0, 1, 0, 0, 0]"
1745,Retry,idempotent multiple requests with the same parameters end with the,0,idempotent multiple requests with the same parameters end with the | retry,"[0, 1, 0, 0, 0]"
1749,Retry,param iterable status forcelist,0,param iterable status forcelist | retry,"[0, 1, 0, 0, 0]"
1750,Retry,a set of integer http status codes that we should force a retry on,0,a set of integer http status codes that we should force a retry on | retry,"[0, 1, 0, 0, 0]"
1752,Retry,by default this is disabled with none,0,by default this is disabled with none | retry,"[0, 1, 0, 0, 0]"
1753,Retry,param float backoff factor,0,param float backoff factor | retry,"[0, 1, 0, 0, 0]"
1755,Retry,most errors are resolved immediately by a second try without a,0,most errors are resolved immediately by a second try without a | retry,"[0, 1, 0, 0, 0]"
1756,Retry,delay,0,delay | retry,"[0, 1, 0, 0, 0]"
1757,Retry,urllib3 will sleep for,0,urllib3 will sleep for | retry,"[0, 1, 0, 0, 0]"
1758,Retry,backoff factor 2 number of total retries 1,0,backoff factor 2 number of total retries 1 | retry,"[0, 1, 0, 0, 0]"
1759,Retry,seconds,0,seconds | retry,"[0, 1, 0, 0, 0]"
1760,Retry,if the backoff factor is 01 then func sleep will sleep,0,if the backoff factor is 01 then func sleep will sleep | retry,"[0, 1, 0, 0, 0]"
1761,Retry,for 00s 02s 04s,0,for 00s 02s 04s | retry,"[0, 1, 0, 0, 0]"
1765,Retry,by default backoff is disabled set to 0,0,by default backoff is disabled set to 0 | retry,"[0, 1, 0, 0, 0]"
1766,Retry,param bool raise on redirect whether if the number of redirects is,0,param bool raise on redirect whether if the number of redirects is | retry,"[0, 1, 0, 0, 0]"
1768,Retry,response code in the 3xx range,0,response code in the 3xx range | retry,"[0, 1, 0, 0, 0]"
1769,Retry,param bool raise on status similar meaning to raise on redirect,0,param bool raise on status similar meaning to raise on redirect | retry,"[0, 1, 0, 0, 0]"
1770,Retry,whether we should raise an exception or return a response,0,whether we should raise an exception or return a response | retry,"[0, 1, 0, 0, 0]"
1771,Retry,if status falls in status forcelist range and retries have,0,if status falls in status forcelist range and retries have | retry,"[0, 1, 0, 0, 0]"
1772,Retry,been exhausted,0,been exhausted | retry,"[0, 1, 0, 0, 0]"
1773,Retry,param tuple history the history of the request encountered during,0,param tuple history the history of the request encountered during | retry,"[0, 1, 0, 0, 0]"
1774,Retry,each call to meth retry increment,0,each call to meth retry increment | retry,"[0, 1, 0, 0, 0]"
1775,Retry,the list is in the order,0,the list is in the order | retry,"[0, 1, 0, 0, 0]"
1777,Retry,each list item is of class class requesthistory,0,each list item is of class class requesthistory | retry,"[0, 1, 0, 0, 0]"
1778,Retry,param bool respect retry after header,0,param bool respect retry after header | retry,"[0, 1, 0, 0, 0]"
1779,Retry,whether to respect retry after header on status codes defined as,0,whether to respect retry after header on status codes defined as | retry,"[0, 1, 0, 0, 0]"
1780,Retry,attr retry retry after status codes or not,0,attr retry retry after status codes or not | retry,"[0, 1, 0, 0, 0]"
1782,Retry,sequence of headers to remove from the request when a response,0,sequence of headers to remove from the request when a response | retry,"[0, 1, 0, 0, 0]"
1783,Retry,indicating a redirect is returned before firing off the redirected,0,indicating a redirect is returned before firing off the redirected | retry,"[0, 1, 0, 0, 0]"
1784,Retry,request,0,request | retry,"[0, 1, 0, 0, 0]"
1785,SafeFileCache,a file based cache which is safe to use even when the target directory may,0,a file based cache which is safe to use even when the target directory may | safefilecache,"[0, 0, 0, 0, 1]"
1786,SafeFileCache,not be accessible or writable,0,not be accessible or writable | safefilecache,"[0, 0, 0, 0, 1]"
1788,SchemaValidatorMixin,validator,0,validator | schemavalidatormixin,"[0, 0, 0, 0, 1]"
1789,Session,a requests session,0,a requests session | session,"[0, 0, 0, 0, 1]"
1790,Session,provides cookie persistence connection pooling and configuration,0,provides cookie persistence connection pooling and configuration | session,"[0, 0, 0, 0, 1]"
1793,Session,s requests session,0,s requests session | session,"[1, 0, 0, 0, 0]"
1794,Session,s get https httpbin org get,0,s get https httpbin org get | session,"[1, 0, 0, 0, 0]"
1795,Session,response 200,0,response 200 | session,"[1, 0, 0, 0, 0]"
1796,Session,or as a context manager,0,or as a context manager | session,"[1, 0, 0, 0, 0]"
1797,Session,with requests session as s,0,with requests session as s | session,"[1, 0, 0, 0, 0]"
1798,Session,s get https httpbin org get,0,s get https httpbin org get | session,"[1, 0, 0, 0, 0]"
1799,Session,response 200,0,response 200 | session,"[1, 0, 0, 0, 0]"
1800,SkipTo,token for skipping over all undefined text until the matched,0,token for skipping over all undefined text until the matched | skipto,"[0, 0, 0, 0, 1]"
1801,SkipTo,expression is found,0,expression is found | skipto,"[0, 0, 0, 0, 1]"
1803,SkipTo,expr target expression marking the end of the data to be skipped,0,expr target expression marking the end of the data to be skipped | skipto,"[0, 1, 0, 0, 0]"
1804,SkipTo,include default false if true the target expression is also parsed,0,include default false if true the target expression is also parsed | skipto,"[0, 1, 0, 0, 0]"
1806,SkipTo,ignore default none used to define grammars typically quoted strings and,0,ignore default none used to define grammars typically quoted strings and | skipto,"[0, 1, 0, 0, 0]"
1808,SkipTo,failon default none define expressions that are not allowed to be,0,failon default none define expressions that are not allowed to be | skipto,"[0, 1, 0, 0, 0]"
1810,SkipTo,the skipto is not a match,0,the skipto is not a match | skipto,"[0, 1, 0, 0, 0]"
1813,SkipTo,severity description days open,0,severity description days open | skipto,"[1, 0, 0, 0, 0]"
1814,SkipTo,101 critical intermittent system crash 6,0,101 critical intermittent system crash 6 | skipto,"[1, 0, 0, 0, 0]"
1817,SkipTo,sep suppress,0,sep suppress | skipto,"[1, 0, 0, 0, 0]"
1818,SkipTo,use skipto to simply match everything up until the next sep,0,use skipto to simply match everything up until the next sep | skipto,"[1, 0, 0, 0, 0]"
1819,SkipTo,ignore quoted strings so that a character inside a quoted string does not match,0,ignore quoted strings so that a character inside a quoted string does not match | skipto,"[1, 0, 0, 0, 0]"
1820,SkipTo,parse action will call token strip for each matched token ie the description body,0,parse action will call token strip for each matched token ie the description body | skipto,"[1, 0, 0, 0, 0]"
1821,SkipTo,string data skipto sep ignore quotedstring,0,string data skipto sep ignore quotedstring | skipto,"[1, 0, 0, 0, 0]"
1823,SkipTo,ticket expr integer issue num sep,0,ticket expr integer issue num sep | skipto,"[1, 0, 0, 0, 0]"
1824,SkipTo,string data sev sep,0,string data sev sep | skipto,"[1, 0, 0, 0, 0]"
1827,SkipTo,print tkt dump,0,print tkt dump | skipto,"[1, 0, 0, 0, 0]"
1828,SkipTo,prints,0,prints | skipto,"[1, 0, 0, 0, 0]"
1829,SkipTo,101 critical intermittent system crash 6,0,101 critical intermittent system crash 6 | skipto,"[1, 0, 0, 0, 0]"
1830,SkipTo,days open 6,0,days open 6 | skipto,"[1, 0, 0, 0, 0]"
1832,SkipTo,issue num 101,0,issue num 101 | skipto,"[1, 0, 0, 0, 0]"
1834,SkipTo,94 cosmetic spelling error on login log n 14,0,94 cosmetic spelling error on login log n 14 | skipto,"[1, 0, 0, 0, 0]"
1835,SkipTo,days open 14,0,days open 14 | skipto,"[1, 0, 0, 0, 0]"
1836,SkipTo,desc spelling error on login log n,0,desc spelling error on login log n | skipto,"[1, 0, 0, 0, 0]"
1838,SkipTo,sev cosmetic,0,sev cosmetic | skipto,"[1, 0, 0, 0, 0]"
1839,SkipTo,days open 47,0,days open 47 | skipto,"[1, 0, 0, 0, 0]"
1840,SkipTo,issue num 79,0,issue num 79 | skipto,"[1, 0, 0, 0, 0]"
1843,Token,token class,0,token class | token,"[0, 0, 0, 0, 1]"
1845,TokenStreamIterator,iterate over the stream,0,iterate over the stream | tokenstreamiterator,"[0, 0, 0, 1, 0]"
1848,TreeBuilder,documentclass the class to use for the bottommost node of a document,0,documentclass the class to use for the bottommost node of a document | treebuilder,"[1, 0, 0, 0, 0]"
1849,TreeBuilder,elementclass the class to use for html elements,0,elementclass the class to use for html elements | treebuilder,"[1, 0, 0, 0, 0]"
1850,TreeBuilder,commentclass the class to use for comments,0,commentclass the class to use for comments | treebuilder,"[1, 0, 0, 0, 0]"
1851,TreeBuilder,doctypeclass the class to use for doctypes,0,doctypeclass the class to use for doctypes | treebuilder,"[1, 0, 0, 0, 0]"
1852,Trie,abstract base class for tries,0,abstract base class for tries | trie,"[0, 0, 0, 0, 1]"
1855,UnlockError,base class for errors arising from attempts to release the lock,0,base class for errors arising from attempts to release the lock | unlockerror,"[0, 0, 0, 0, 1]"
1857,UnlockError,raise unlockerror,0,raise unlockerror | unlockerror,"[1, 0, 0, 0, 0]"
1861,_OpNamespace,an op namespace to dynamically bind operators into python,0,an op namespace to dynamically bind operators into python | opnamespace,"[1, 0, 1, 0, 1]"
1863,_OpNamespace,to,0,to | opnamespace,"[1, 0, 1, 0, 0]"
1868,_OpNamespace,instead the,0,instead the | opnamespace,"[1, 0, 1, 0, 0]"
1873,_OpNamespace,on the torch ops object which will create a new opnamespace,0,on the torch ops object which will create a new opnamespace | opnamespace,"[0, 0, 1, 0, 0]"
1879,_OpNamespace,torch ops my namespace my op will then invoke getattr on,0,torch ops my namespace my op will then invoke getattr on | opnamespace,"[0, 0, 1, 0, 0]"
1882,_OpNamespace,torch get operation a function bound from c and then in a similar,0,torch get operation a function bound from c and then in a similar | opnamespace,"[0, 0, 1, 0, 0]"
1888,_OpNamespace,operation will already exist,0,operation will already exist | opnamespace,"[1, 0, 1, 0, 0]"
1889,Adadelta,implements adadelta algorithm,0,implements adadelta algorithm | adadelta,"[0, 0, 0, 0, 1]"
1890,Adadelta,it has been proposed in adadelta an adaptive learning rate method,0,it has been proposed in adadelta an adaptive learning rate method | adadelta,"[0, 0, 0, 0, 1]"
1891,Adadelta,arguments,0,arguments | adadelta,"[0, 1, 0, 0, 0]"
1895,Adadelta,of squared gradients default 09,0,of squared gradients default 09 | adadelta,"[0, 1, 0, 0, 0]"
1897,Adadelta,numerical stability default 1e 6,0,numerical stability default 1e 6 | adadelta,"[0, 1, 0, 0, 0]"
1899,Adadelta,to the parameters default 10,0,to the parameters default 10 | adadelta,"[0, 1, 0, 0, 0]"
1903,Adam,arguments,0,arguments | adam,"[0, 1, 0, 0, 0]"
1906,Adam,lr float optional learning rate default 1e 3,0,lr float optional learning rate default 1e 3 | adam,"[0, 1, 0, 0, 0]"
1908,Adam,running averages of gradient and its square default 09 0999,0,running averages of gradient and its square default 09 0999 | adam,"[0, 1, 0, 0, 0]"
1916,Adam,adam a method for stochastic optimization,0,adam a method for stochastic optimization | adam,"[0, 0, 1, 0, 0]"
1918,Adam,on the convergence of adam and beyond,0,on the convergence of adam and beyond | adam,"[0, 0, 1, 0, 0]"
1919,Adam,https openreview net forum id ryqu7f rz,0,https openreview net forum id ryqu7f rz | adam,"[0, 0, 1, 0, 0]"
1922,Adamax,arguments,0,arguments | adamax,"[0, 1, 0, 0, 0]"
1925,Adamax,lr float optional learning rate default 2e 3,0,lr float optional learning rate default 2e 3 | adamax,"[0, 1, 0, 0, 0]"
1927,Adamax,running averages of gradient and its square,0,running averages of gradient and its square | adamax,"[0, 1, 0, 0, 0]"
1932,AdaptiveMaxPool3d,the output is of size d x h x w for any input size,0,the output is of size d x h x w for any input size | adaptivemaxpool3d,"[0, 0, 0, 1, 0]"
1933,AdaptiveMaxPool3d,the number of output features is equal to the number of input planes,0,the number of output features is equal to the number of input planes | adaptivemaxpool3d,"[0, 0, 0, 1, 0]"
1935,AdaptiveMaxPool3d,output size the target output size of the image of the form d x h x w,0,output size the target output size of the image of the form d x h x w | adaptivemaxpool3d,"[0, 1, 0, 0, 0]"
1936,AdaptiveMaxPool3d,can be a tuple d h w or a single d for a cube d x d x d,0,can be a tuple d h w or a single d for a cube d x d x d | adaptivemaxpool3d,"[0, 1, 0, 0, 0]"
1938,AdaptiveMaxPool3d,be the same as that of the input,0,be the same as that of the input | adaptivemaxpool3d,"[0, 1, 0, 0, 0]"
1939,AdaptiveMaxPool3d,return indices if true will return the indices along with the outputs,0,return indices if true will return the indices along with the outputs | adaptivemaxpool3d,"[0, 1, 0, 0, 0]"
1940,AdaptiveMaxPool3d,useful to pass to nn maxunpool3d,0,useful to pass to nn maxunpool3d | adaptivemaxpool3d,"[0, 1, 0, 0, 0]"
1943,AdaptiveMaxPool3d,target output size of 5x7x9,0,target output size of 5x7x9 | adaptivemaxpool3d,"[1, 0, 0, 0, 0]"
1944,AdaptiveMaxPool3d,m nn adaptivemaxpool3d 5 7 9,0,m nn adaptivemaxpool3d 5 7 9 | adaptivemaxpool3d,"[1, 0, 0, 0, 0]"
1945,AdaptiveMaxPool3d,input torch randn 1 64 8 9 10,0,input torch randn 1 64 8 9 10 | adaptivemaxpool3d,"[1, 0, 0, 0, 0]"
1946,AdaptiveMaxPool3d,output m input,0,output m input | adaptivemaxpool3d,"[1, 0, 0, 0, 0]"
1947,AdaptiveMaxPool3d,target output size of 7x7x7 cube,0,target output size of 7x7x7 cube | adaptivemaxpool3d,"[1, 0, 0, 0, 0]"
1948,AdaptiveMaxPool3d,m nn adaptivemaxpool3d 7,0,m nn adaptivemaxpool3d 7 | adaptivemaxpool3d,"[1, 0, 0, 0, 0]"
1949,AdaptiveMaxPool3d,input torch randn 1 64 10 9 8,0,input torch randn 1 64 10 9 8 | adaptivemaxpool3d,"[1, 0, 0, 0, 0]"
1950,AdaptiveMaxPool3d,output m input,0,output m input | adaptivemaxpool3d,"[1, 0, 0, 0, 0]"
1951,AdaptiveMaxPool3d,target output size of 7x9x8,0,target output size of 7x9x8 | adaptivemaxpool3d,"[1, 0, 0, 0, 0]"
1953,AdaptiveMaxPool3d,output m input,0,output m input | adaptivemaxpool3d,"[1, 0, 0, 0, 0]"
1955,BatchNorm1d,applies batch normalization over a 2d or 3d input a mini batch of 1d,0,applies batch normalization over a 2d or 3d input a mini batch of 1d | batchnorm1d,"[0, 0, 0, 0, 1]"
1956,BatchNorm1d,inputs with optional additional channel dimension as described in the paper,0,inputs with optional additional channel dimension as described in the paper | batchnorm1d,"[0, 0, 0, 0, 1]"
1957,BatchNorm1d,batch normalization accelerating deep network training by reducing internal covariate shift,0,batch normalization accelerating deep network training by reducing internal covariate shift | batchnorm1d,"[0, 0, 0, 0, 1]"
1959,BatchNorm1d,the mean and standard deviation are calculated per dimension over,0,the mean and standard deviation are calculated per dimension over | batchnorm1d,"[0, 0, 0, 1, 0]"
1964,BatchNorm1d,the running estimates are kept with a default attr momentum,0,the running estimates are kept with a default attr momentum | batchnorm1d,"[0, 0, 0, 1, 0]"
1968,BatchNorm1d,evaluation time as well,0,evaluation time as well | batchnorm1d,"[0, 0, 0, 1, 0]"
1978,BatchNorm1d,because the batch normalization is done over the c dimension computing statistics,0,because the batch normalization is done over the c dimension computing statistics | batchnorm1d,"[0, 0, 1, 0, 0]"
1981,BatchNorm1d,num features math c from an expected input of size,0,num features math c from an expected input of size | batchnorm1d,"[0, 1, 0, 1, 0]"
1984,BatchNorm1d,eps a value added to the denominator for numerical stability,0,eps a value added to the denominator for numerical stability | batchnorm1d,"[0, 1, 0, 0, 0]"
1985,BatchNorm1d,default 1e 5,0,default 1e 5 | batchnorm1d,"[0, 1, 0, 0, 0]"
1986,BatchNorm1d,momentum the value used for the running mean and running var,0,momentum the value used for the running mean and running var | batchnorm1d,"[0, 1, 0, 0, 0]"
1987,BatchNorm1d,computation,0,computation | batchnorm1d,"[0, 1, 0, 0, 0]"
