index,class,comment_sentence,partition,combo,labels
1,Abfss.java,this impl delegates to the old filesystem,0,this impl delegates to the old filesystem | abfss java,"[0, 0, 1, 0, 0, 0, 0]"
1098,BloomFilter.java,it internally uses atomics and,0,it internally uses atomics and | bloomfilter java,"[0, 0, 0, 0, 0, 1, 0]"
1100,BloomFilter.java,param t the type of instances that the code bloomfilter accepts,0,param t the type of instances that the code bloomfilter accepts | bloomfilter java,"[0, 0, 0, 1, 0, 0, 0]"
1101,BloomFilter.java,author dimitris andreou,0,author dimitris andreou | bloomfilter java,"[0, 1, 0, 0, 0, 0, 0]"
1102,BloomFilter.java,author kevin bourrillion,0,author kevin bourrillion | bloomfilter java,"[0, 1, 0, 0, 0, 0, 0]"
1104,BloomFilter.java,cheat sheet m total bits n expected insertions b m n bits per insertion p expected false positive probability 1 optimal k b ln2 2 p 1 e kn m k 3 for optimal k p 2 k 06185 b 4 for optimal k m nlnp ln2 2,0,cheat sheet m total bits n expected insertions b m n bits per insertion p expected false positive probability 1 optimal k b ln2 2 p 1 e kn m k 3 for optimal k p 2 k 06185 b 4 for optimal k m nlnp ln2 2 | bloomfilter java,"[0, 0, 0, 1, 0, 0, 0]"
1107,CacheBuilder.java,a builder of link loadingcache and link cache instances having any combination of the,0,a builder of link loadingcache and link cache instances having any combination of the | cachebuilder java,"[1, 0, 1, 1, 0, 0, 0]"
1111,CacheBuilder.java,li least recently used eviction when a maximum size is exceeded,0,li least recently used eviction when a maximum size is exceeded | cachebuilder java,"[0, 0, 1, 0, 0, 0, 0]"
1113,CacheBuilder.java,li keys automatically wrapped in linkplain weakreference weak references,0,li keys automatically wrapped in linkplain weakreference weak references | cachebuilder java,"[0, 0, 1, 0, 0, 0, 0]"
1115,CacheBuilder.java,softreference soft references,0,softreference soft references | cachebuilder java,"[0, 0, 1, 0, 0, 0, 0]"
1118,CacheBuilder.java,p these features are all optional caches can be created using all or none of them,0,p these features are all optional caches can be created using all or none of them | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1119,CacheBuilder.java,by default,0,by default | cachebuilder java,"[0, 0, 1, 1, 0, 0, 0]"
1120,CacheBuilder.java,cache instances created by code cachebuilder will not perform any type of eviction,0,cache instances created by code cachebuilder will not perform any type of eviction | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1121,CacheBuilder.java,p usage example,0,p usage example | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1124,CacheBuilder.java,maximumsize 10000,0,maximumsize 10000 | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1125,CacheBuilder.java,expireafterwrite duration ofminutes 10,0,expireafterwrite duration ofminutes 10 | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1126,CacheBuilder.java,removallistener my listener,0,removallistener my listener | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1129,CacheBuilder.java,public graph load key key throws anyexception,0,public graph load key key throws anyexception | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1132,CacheBuilder.java,p or equivalently,0,p or equivalently | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1143,CacheBuilder.java,link concurrenthashmap,0,link concurrenthashmap | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1144,CacheBuilder.java,it implements all optional operations of the link loadingcache and,0,it implements all optional operations of the link loadingcache and | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1145,CacheBuilder.java,link cache interfaces,0,link cache interfaces | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1146,CacheBuilder.java,the code asmap view and its collection views have i weakly,0,the code asmap view and its collection views have i weakly | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1147,CacheBuilder.java,consistent iterators i,0,consistent iterators i | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1148,CacheBuilder.java,this means that they are safe for concurrent use but if other threads,0,this means that they are safe for concurrent use but if other threads | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1149,CacheBuilder.java,modify the cache after the iterator is created it is undefined which of these changes if any,0,modify the cache after the iterator is created it is undefined which of these changes if any | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1151,CacheBuilder.java,these iterators never throw link,0,these iterators never throw link | cachebuilder java,"[0, 0, 0, 1, 1, 0, 0]"
1152,CacheBuilder.java,concurrentmodificationexception,0,concurrentmodificationexception | cachebuilder java,"[0, 0, 0, 1, 1, 0, 0]"
1153,CacheBuilder.java,p b note b by default the returned cache uses equality comparisons the link,0,p b note b by default the returned cache uses equality comparisons the link | cachebuilder java,"[0, 0, 1, 0, 0, 0, 0]"
1154,CacheBuilder.java,object equals equals method to determine equality for keys or values,0,object equals equals method to determine equality for keys or values | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1155,CacheBuilder.java,however if link,0,however if link | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1157,CacheBuilder.java,likewise if link weakvalues or link softvalues was specified the cache uses identity,0,likewise if link weakvalues or link softvalues was specified the cache uses identity | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1158,CacheBuilder.java,comparisons for values,0,comparisons for values | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1161,CacheBuilder.java,maximumsize linkplain maximumweight long maximumweight linkplain expireafterwrite,0,maximumsize linkplain maximumweight long maximumweight linkplain expireafterwrite | cachebuilder java,"[0, 0, 1, 1, 0, 0, 0]"
1164,CacheBuilder.java,weakkeys linkplain weakvalues weakvalues or linkplain softvalues softvalues are,0,weakkeys linkplain weakvalues weakvalues or linkplain softvalues softvalues are | cachebuilder java,"[0, 0, 1, 1, 0, 0, 0]"
1167,CacheBuilder.java,p if linkplain maximumsize long maximumsize or linkplain maximumweight long,0,p if linkplain maximumsize long maximumsize or linkplain maximumweight long | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1170,CacheBuilder.java,expireafteraccess is requested entries may be evicted on each cache modification on occasional,0,expireafteraccess is requested entries may be evicted on each cache modification on occasional | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1171,CacheBuilder.java,cache accesses or on calls to link cache cleanup,0,cache accesses or on calls to link cache cleanup | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1172,CacheBuilder.java,expired entries may be counted by link,0,expired entries may be counted by link | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1173,CacheBuilder.java,cache size but will never be visible to read or write operations,0,cache size but will never be visible to read or write operations | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1175,CacheBuilder.java,be reclaimed by the garbage collector,0,be reclaimed by the garbage collector | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1176,CacheBuilder.java,entries with reclaimed keys or values may be removed from,0,entries with reclaimed keys or values may be removed from | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1177,CacheBuilder.java,the cache on each cache modification on occasional cache accesses or on calls to link,0,the cache on each cache modification on occasional cache accesses or on calls to link | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1178,CacheBuilder.java,cache cleanup such entries may be counted in link cache size but will never be visible to,0,cache cleanup such entries may be counted in link cache size but will never be visible to | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1179,CacheBuilder.java,read or write operations,0,read or write operations | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1180,CacheBuilder.java,p certain cache configurations will result in the accrual of periodic maintenance tasks which,0,p certain cache configurations will result in the accrual of periodic maintenance tasks which | cachebuilder java,"[0, 0, 1, 1, 0, 0, 0]"
1182,CacheBuilder.java,writes,0,writes | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1183,CacheBuilder.java,the link cache cleanup method of the returned cache will also perform maintenance but,0,the link cache cleanup method of the returned cache will also perform maintenance but | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1186,CacheBuilder.java,only caches built with,0,only caches built with | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1187,CacheBuilder.java,linkplain removallistener removallistener linkplain expireafterwrite expireafterwrite,0,linkplain removallistener removallistener linkplain expireafterwrite expireafterwrite | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1188,CacheBuilder.java,linkplain expireafteraccess expireafteraccess linkplain weakkeys weakkeys linkplain,0,linkplain expireafteraccess expireafteraccess linkplain weakkeys weakkeys linkplain | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1189,CacheBuilder.java,weakvalues weakvalues or linkplain softvalues softvalues perform periodic maintenance,0,weakvalues weakvalues or linkplain softvalues softvalues perform periodic maintenance | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1190,CacheBuilder.java,retain all the configuration properties of the original cache,0,retain all the configuration properties of the original cache | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1191,CacheBuilder.java,note that the serialized form does,0,note that the serialized form does | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1192,CacheBuilder.java,i not i include cache contents but only configuration,0,i not i include cache contents but only configuration | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1193,CacheBuilder.java,p see the guava user guide article on a,0,p see the guava user guide article on a | cachebuilder java,"[0, 0, 0, 0, 1, 0, 0]"
1196,CacheBuilder.java,this is,0,this is | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1197,CacheBuilder.java,normally code object unless it is constrained by using a method like code,0,normally code object unless it is constrained by using a method like code | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1199,CacheBuilder.java,this is,0,this is | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1200,CacheBuilder.java,normally code object unless it is constrained by using a method like code,0,normally code object unless it is constrained by using a method like code | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1201,CacheBuilder.java,removallistener,0,removallistener | cachebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1202,CacheBuilder.java,author charles fry,0,author charles fry | cachebuilder java,"[0, 1, 0, 0, 0, 0, 0]"
1203,CacheBuilder.java,author kevin bourrillion,0,author kevin bourrillion | cachebuilder java,"[0, 1, 0, 0, 0, 0, 0]"
1204,CacheBuilder.java,since 100,0,since 100 | cachebuilder java,"[0, 0, 0, 0, 0, 1, 0]"
1207,CacheManualTest.java,author charles fry,0,author charles fry | cachemanualtest java,"[0, 1, 0, 0, 0, 0, 0]"
1209,ClassToInstanceMap.java,instance of that type,0,instance of that type | classtoinstancemap java,"[1, 0, 0, 0, 0, 0, 0]"
1210,ClassToInstanceMap.java,in addition to implementing code map the additional type safe,0,in addition to implementing code map the additional type safe | classtoinstancemap java,"[1, 0, 0, 0, 0, 0, 0]"
1211,ClassToInstanceMap.java,operations link putinstance and link getinstance are available,0,operations link putinstance and link getinstance are available | classtoinstancemap java,"[1, 0, 0, 0, 0, 0, 0]"
1215,ClassToInstanceMap.java,https github com google guava wiki newcollectiontypesexplained classtoinstancemap code,0,https github com google guava wiki newcollectiontypesexplained classtoinstancemap code | classtoinstancemap java,"[0, 0, 0, 0, 1, 0, 0]"
1216,ClassToInstanceMap.java,classtoinstancemap a,0,classtoinstancemap a | classtoinstancemap java,"[0, 0, 0, 0, 1, 0, 0]"
1217,ClassToInstanceMap.java,p to map a generic type to an instance of that type use link,0,p to map a generic type to an instance of that type use link | classtoinstancemap java,"[0, 0, 0, 1, 0, 0, 0]"
1218,ClassToInstanceMap.java,com google common reflect typetoinstancemap instead,0,com google common reflect typetoinstancemap instead | classtoinstancemap java,"[0, 0, 0, 1, 0, 0, 0]"
1219,ClassToInstanceMap.java,param b the common supertype that all entries must share often this is simply link object,0,param b the common supertype that all entries must share often this is simply link object | classtoinstancemap java,"[0, 0, 0, 1, 0, 0, 0]"
1220,ClassToInstanceMap.java,author kevin bourrillion,0,author kevin bourrillion | classtoinstancemap java,"[0, 1, 0, 0, 0, 0, 0]"
1222,CloseablesTest.java,unit tests for link closeables,0,unit tests for link closeables | closeablestest java,"[1, 0, 0, 0, 0, 0, 0]"
1224,CloseablesTest.java,propagated out from the link closeables close method if code swallowexception is true,0,propagated out from the link closeables close method if code swallowexception is true | closeablestest java,"[0, 0, 1, 0, 0, 0, 0]"
1229,CollectionTestSuiteBuilder.java,settestsuitebuilder,0,settestsuitebuilder | collectiontestsuitebuilder java,"[1, 0, 0, 0, 1, 0, 0]"
1238,DescendingMultiset.java,only needs code forwardmultiset and,0,only needs code forwardmultiset and | descendingmultiset java,"[0, 0, 0, 0, 1, 0, 0]"
1241,EqualsTester.java,tester for equals and hashcode methods of a class,0,tester for equals and hashcode methods of a class | equalstester java,"[1, 0, 0, 0, 0, 0, 0]"
1245,EqualsTester.java,p this tests code foo equals foo code foo equals null and a few other operations,0,p this tests code foo equals foo code foo equals null and a few other operations | equalstester java,"[0, 0, 0, 1, 0, 0, 1]"
1248,EqualsTester.java,each group should contain objects,0,each group should contain objects | equalstester java,"[0, 0, 0, 1, 0, 0, 1]"
1249,EqualsTester.java,that are equal to each other but unequal to the objects in any other group,0,that are equal to each other but unequal to the objects in any other group | equalstester java,"[0, 0, 0, 1, 0, 0, 0]"
1253,EqualsTester.java,addequalitygroup new user page new user page,0,addequalitygroup new user page new user page | equalstester java,"[0, 0, 0, 1, 0, 0, 0]"
1259,EqualsTester.java,li comparing each object against itself returns true,0,li comparing each object against itself returns true | equalstester java,"[0, 0, 0, 0, 0, 0, 1]"
1260,EqualsTester.java,li comparing each object against an instance of an incompatible class returns false,0,li comparing each object against an instance of an incompatible class returns false | equalstester java,"[0, 0, 0, 0, 0, 0, 1]"
1261,EqualsTester.java,li comparing each pair of objects within the same equality group returns true,0,li comparing each pair of objects within the same equality group returns true | equalstester java,"[0, 0, 0, 0, 0, 0, 1]"
1262,EqualsTester.java,li comparing each pair of objects from different equality groups returns false,0,li comparing each pair of objects from different equality groups returns false | equalstester java,"[0, 0, 0, 0, 0, 0, 1]"
1267,EqualsTester.java,author jim mcmaster,0,author jim mcmaster | equalstester java,"[0, 1, 0, 0, 0, 0, 0]"
1269,EqualsTester.java,since 100,0,since 100 | equalstester java,"[0, 0, 0, 0, 0, 1, 0]"
1273,FeatureSpecificTestSuiteBuilder.java,by a g selecting appropriate tests by matching them against specified features,0,by a g selecting appropriate tests by matching them against specified features | featurespecifictestsuitebuilder java,"[1, 0, 1, 0, 0, 0, 0]"
1276,FeatureSpecificTestSuiteBuilder.java,class such as link named return this type so that builder methods of more derived,0,class such as link named return this type so that builder methods of more derived | featurespecifictestsuitebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1278,FeatureSpecificTestSuiteBuilder.java,an,0,an | featurespecifictestsuitebuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1282,ForwardingBlockingDequeTest.java,author emily soldal,0,author emily soldal | forwardingblockingdequetest java,"[0, 1, 0, 0, 0, 0, 0]"
1288,GwtTestSuite.java,runs all gwt tests,0,runs all gwt tests | gwttestsuite java,"[1, 0, 0, 0, 0, 0, 0]"
1290,GwtTestSuite.java,suite as the per suite setup is expensive,0,suite as the per suite setup is expensive | gwttestsuite java,"[0, 0, 0, 0, 0, 0, 1]"
1292,HashFunctionEnum.java,author kurt alfred kluever,0,author kurt alfred kluever | hashfunctionenum java,"[0, 1, 0, 0, 0, 0, 0]"
1295,HostAndPort.java,p example usage,0,p example usage | hostandport java,"[0, 0, 0, 1, 0, 0, 0]"
1297,HostAndPort.java,hostandport hp hostandport fromstring 2001 db8 1,0,hostandport hp hostandport fromstring 2001 db8 1 | hostandport java,"[0, 0, 0, 1, 0, 0, 0]"
1301,HostAndPort.java,hp tostring returns 2001 db8 1 80,0,hp tostring returns 2001 db8 1 80 | hostandport java,"[0, 0, 0, 1, 0, 0, 0]"
1305,HostAndPort.java,li example com,0,li example com | hostandport java,"[0, 0, 0, 1, 0, 0, 0]"
1307,HostAndPort.java,li 2001 db8 1 link gethost omits brackets,0,li 2001 db8 1 link gethost omits brackets | hostandport java,"[0, 0, 0, 1, 0, 0, 0]"
1309,HostAndPort.java,li 2001 db8 1 use link requirebracketsforipv6 to prohibit this,0,li 2001 db8 1 use link requirebracketsforipv6 to prohibit this | hostandport java,"[0, 0, 0, 1, 0, 0, 0]"
1311,HostAndPort.java,p note that this is not an exhaustive list because these methods are only concerned with,0,p note that this is not an exhaustive list because these methods are only concerned with | hostandport java,"[0, 0, 0, 1, 0, 0, 0]"
1313,HostAndPort.java,caller s responsibility,0,caller s responsibility | hostandport java,"[0, 0, 0, 1, 0, 0, 0]"
1317,ImmutableSetHashFloodingDetectionBenchmark.java,benchmark of implementations of link immutableset hashfloodingdetected object,0,benchmark of implementations of link immutableset hashfloodingdetected object | immutablesethashfloodingdetectionbenchmark java,"[1, 0, 0, 0, 1, 0, 0]"
1318,ImmutableTable_CustomFieldSerializerBase.java,this class contains static utility methods for writing link immutabletable gwt field,0,this class contains static utility methods for writing link immutabletable gwt field | immutabletable customfieldserializerbase java,"[1, 0, 0, 0, 0, 0, 0]"
1319,ImmutableTable_CustomFieldSerializerBase.java,serializers,0,serializers | immutabletable customfieldserializerbase java,"[1, 0, 0, 0, 0, 0, 0]"
1322,LazyStackTraceBenchmark.java,quick and dirty benchmark of link throwables lazystacktrace throwable,0,quick and dirty benchmark of link throwables lazystacktrace throwable | lazystacktracebenchmark java,"[1, 0, 0, 0, 1, 0, 0]"
1324,LazyStackTraceBenchmark.java,finder implementation that might be used in a logging framework,0,finder implementation that might be used in a logging framework | lazystacktracebenchmark java,"[0, 0, 0, 0, 0, 0, 1]"
1328,MapPutAllTester.java,please see link com google common collect testing maptestsuitebuilder,0,please see link com google common collect testing maptestsuitebuilder | mapputalltester java,"[0, 0, 0, 0, 1, 0, 0]"
1329,MapPutAllTester.java,author chris povirk,0,author chris povirk | mapputalltester java,"[0, 1, 0, 0, 0, 0, 0]"
1331,MapSerializationTester.java,basic serialization test for maps,0,basic serialization test for maps | mapserializationtester java,"[1, 0, 0, 0, 0, 0, 0]"
1337,MultimapBuilder.java,explicitly in code com google common collect for example,0,explicitly in code com google common collect for example | multimapbuilder java,"[0, 0, 1, 1, 0, 0, 0]"
1345,MultimapBuilder.java,invoking a configuration method has no effect,0,invoking a configuration method has no effect | multimapbuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1357,MultimapBuilder.java,an intermediate stage in a link multimapbuilder in which the key value collection map,0,an intermediate stage in a link multimapbuilder in which the key value collection map | multimapbuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1359,MultimapBuilder.java,param k0 the upper bound on the key type of the generated multimap,0,param k0 the upper bound on the key type of the generated multimap | multimapbuilder java,"[0, 0, 0, 1, 0, 0, 0]"
1377,NullsLastOrdering_CustomFieldSerializer.java,author chris povirk,0,author chris povirk | nullslastordering customfieldserializer java,"[0, 1, 0, 0, 0, 0, 0]"
1378,ObjectCountHashMap.java,objectcounthashmap is an implementation of code abstractobjectcountmap that uses arrays to,0,objectcounthashmap is an implementation of code abstractobjectcountmap that uses arrays to | objectcounthashmap java,"[1, 0, 0, 0, 0, 0, 0]"
1379,ObjectCountHashMap.java,store key objects and count values,0,store key objects and count values | objectcounthashmap java,"[1, 0, 0, 0, 0, 0, 0]"
1382,ObjectCountHashMap.java,minimizes object allocation and reduces memory footprint,0,minimizes object allocation and reduces memory footprint | objectcounthashmap java,"[0, 0, 0, 0, 0, 0, 1]"
1387,PeekingIterator.java,peekingiterator a,0,peekingiterator a | peekingiterator java,"[0, 0, 0, 0, 1, 0, 0]"
1391,Preconditions.java,correctly that is whether its i preconditions i were met,0,correctly that is whether its i preconditions i were met | preconditions java,"[1, 0, 1, 1, 0, 0, 0]"
1400,Preconditions.java,throw new illegalargumentexception input is negative value,0,throw new illegalargumentexception input is negative value | preconditions java,"[0, 0, 1, 1, 0, 0, 0]"
1417,Preconditions.java,p would be flagged as having called code sqrt with an illegal argument,0,p would be flagged as having called code sqrt with an illegal argument | preconditions java,"[0, 0, 0, 1, 0, 0, 0]"
1419,Preconditions.java,p avoid passing message arguments that are expensive to compute your code will always compute,0,p avoid passing message arguments that are expensive to compute your code will always compute | preconditions java,"[0, 0, 0, 1, 0, 0, 0]"
1421,Preconditions.java,if you have such arguments use the conventional,0,if you have such arguments use the conventional | preconditions java,"[0, 0, 0, 1, 0, 0, 0]"
1423,Preconditions.java,p depending on your message arguments memory may be allocated for boxing and varargs array,0,p depending on your message arguments memory may be allocated for boxing and varargs array | preconditions java,"[0, 0, 0, 1, 0, 0, 0]"
1425,Preconditions.java,however the methods of this class have a large number of overloads that prevent such,0,however the methods of this class have a large number of overloads that prevent such | preconditions java,"[0, 0, 1, 0, 0, 0, 0]"
1426,Preconditions.java,allocations in many common cases,0,allocations in many common cases | preconditions java,"[0, 0, 0, 1, 0, 0, 0]"
1430,Preconditions.java,environment if possible before spending a lot of effort on tweaking a particular element,0,environment if possible before spending a lot of effort on tweaking a particular element | preconditions java,"[0, 0, 0, 1, 0, 0, 0]"
1431,Preconditions.java,h3 other types of preconditions h3,0,h3 other types of preconditions h3 | preconditions java,"[0, 0, 1, 0, 0, 0, 0]"
1432,Preconditions.java,p not every type of precondition failure is supported by these methods,0,p not every type of precondition failure is supported by these methods | preconditions java,"[0, 0, 1, 0, 0, 0, 0]"
1434,Preconditions.java,standard jdk exceptions such as link java util nosuchelementexception or link,0,standard jdk exceptions such as link java util nosuchelementexception or link | preconditions java,"[0, 0, 0, 1, 0, 0, 0]"
1436,Preconditions.java,h3 non preconditions h3,0,h3 non preconditions h3 | preconditions java,"[0, 0, 1, 0, 0, 0, 0]"
1437,Preconditions.java,p it is of course possible to use the methods of this class to check for invalid conditions,0,p it is of course possible to use the methods of this class to check for invalid conditions | preconditions java,"[0, 0, 0, 1, 0, 0, 0]"
1439,Preconditions.java,doing so is b not recommended b because it is,0,doing so is b not recommended b because it is | preconditions java,"[0, 0, 0, 1, 0, 0, 0]"
1451,Preconditions.java,h3 code java util objects requirenonnull h3,0,h3 code java util objects requirenonnull h3 | preconditions java,"[0, 0, 0, 1, 0, 0, 0]"
1455,Preconditions.java,checknotnull object or link verify verifynotnull object is appropriate to the situation,0,checknotnull object or link verify verifynotnull object is appropriate to the situation | preconditions java,"[0, 0, 0, 1, 0, 0, 0]"
1457,Preconditions.java,h3 only code s is supported h3,0,h3 only code s is supported h3 | preconditions java,"[0, 0, 0, 1, 0, 0, 0]"
1458,Preconditions.java,p code preconditions uses link strings lenientformat to format error message template,0,p code preconditions uses link strings lenientformat to format error message template | preconditions java,"[0, 0, 1, 0, 0, 0, 0]"
1462,Preconditions.java,however note that if the number of arguments does not match the,0,however note that if the number of arguments does not match the | preconditions java,"[0, 0, 0, 1, 0, 0, 0]"
1463,Preconditions.java,number of occurrences of code s in the format string code preconditions will still,0,number of occurrences of code s in the format string code preconditions will still | preconditions java,"[0, 0, 1, 0, 0, 0, 0]"
1466,Preconditions.java,h3 more information h3,0,h3 more information h3 | preconditions java,"[0, 0, 0, 0, 1, 0, 0]"
1467,Preconditions.java,p see the guava user guide on a,0,p see the guava user guide on a | preconditions java,"[0, 0, 0, 0, 1, 0, 0]"
1470,Preconditions.java,preconditions a,0,preconditions a | preconditions java,"[0, 0, 1, 1, 1, 0, 0]"
1471,Preconditions.java,author kevin bourrillion,0,author kevin bourrillion | preconditions java,"[0, 1, 0, 0, 0, 0, 0]"
1473,RegularImmutableList_CustomFieldSerializer.java,this class implements the gwt serialization of link regularimmutablelist,0,this class implements the gwt serialization of link regularimmutablelist | regularimmutablelist customfieldserializer java,"[1, 0, 0, 0, 1, 0, 0]"
1477,Resources.java,provides utility methods for working with resources in the classpath,0,provides utility methods for working with resources in the classpath | resources java,"[1, 0, 0, 0, 0, 0, 0]"
1484,SmoothRateLimiter.java,how is the ratelimiter designed and why,0,how is the ratelimiter designed and why | smoothratelimiter java,"[0, 0, 0, 1, 0, 0, 0]"
1491,SmoothRateLimiter.java,wait as much,0,wait as much | smoothratelimiter java,"[1, 0, 0, 0, 0, 0, 0]"
1496,SmoothRateLimiter.java,qps 5 5 tokens per second if we ensure that a request isn t granted earlier than 200ms after,0,qps 5 5 tokens per second if we ensure that a request isn t granted earlier than 200ms after | smoothratelimiter java,"[0, 0, 1, 0, 0, 0, 0]"
1498,SmoothRateLimiter.java,if a request comes and the last request was,0,if a request comes and the last request was | smoothratelimiter java,"[0, 0, 1, 1, 0, 0, 0]"
1502,SmoothRateLimiter.java,it is important to realize that such a ratelimiter has a very superficial memory of the past,0,it is important to realize that such a ratelimiter has a very superficial memory of the past | smoothratelimiter java,"[0, 0, 1, 1, 0, 0, 1]"
1505,SmoothRateLimiter.java,what if the ratelimiter was unused for a long period of,0,what if the ratelimiter was unused for a long period of | smoothratelimiter java,"[0, 0, 1, 1, 0, 0, 1]"
1508,SmoothRateLimiter.java,this ratelimiter would immediately,0,this ratelimiter would immediately | smoothratelimiter java,"[0, 0, 1, 0, 0, 0, 1]"
1513,SmoothRateLimiter.java,overflow depending on the real world consequences of not using the expected rate,0,overflow depending on the real world consequences of not using the expected rate | smoothratelimiter java,"[0, 0, 1, 1, 0, 0, 1]"
1525,SmoothRateLimiter.java,the request has become less ready for future requests ie its caches become stale and,0,the request has become less ready for future requests ie its caches become stale and | smoothratelimiter java,"[0, 0, 1, 1, 0, 0, 0]"
1527,SmoothRateLimiter.java,example is when a server has just booted and it is mostly busy with getting itself up to,0,example is when a server has just booted and it is mostly busy with getting itself up to | smoothratelimiter java,"[0, 0, 1, 0, 0, 0, 0]"
1529,SmoothRateLimiter.java,to deal with such scenarios we add an extra dimension that of past underutilization,0,to deal with such scenarios we add an extra dimension that of past underutilization | smoothratelimiter java,"[0, 0, 1, 0, 0, 0, 0]"
1531,SmoothRateLimiter.java,this variable is zero when there is no underutilization,0,this variable is zero when there is no underutilization | smoothratelimiter java,"[0, 0, 1, 1, 0, 0, 0]"
1538,SmoothRateLimiter.java,how this works is best explained with an example,0,how this works is best explained with an example | smoothratelimiter java,"[0, 0, 0, 1, 0, 0, 0]"
1542,SmoothRateLimiter.java,for 10 seconds ie we expected a request at time x but we are at time x 10 seconds before,0,for 10 seconds ie we expected a request at time x but we are at time x 10 seconds before | smoothratelimiter java,"[0, 0, 0, 1, 0, 0, 0]"
1545,SmoothRateLimiter.java,at that point a request of,0,at that point a request of | smoothratelimiter java,"[0, 0, 0, 1, 0, 0, 0]"
1547,SmoothRateLimiter.java,we serve this request out of storedpermits and reduce that to 70 how,0,we serve this request out of storedpermits and reduce that to 70 how | smoothratelimiter java,"[0, 0, 0, 1, 0, 0, 0]"
1548,SmoothRateLimiter.java,this is translated to throttling time is discussed later,0,this is translated to throttling time is discussed later | smoothratelimiter java,"[0, 0, 0, 1, 0, 0, 0]"
1549,SmoothRateLimiter.java,immediately after assume that an,0,immediately after assume that an | smoothratelimiter java,"[0, 0, 0, 1, 0, 0, 0]"
1551,SmoothRateLimiter.java,we serve the request partly from storedpermits using all the,0,we serve the request partly from storedpermits using all the | smoothratelimiter java,"[0, 0, 0, 1, 0, 0, 0]"
1552,SmoothRateLimiter.java,remaining 70 permits and the remaining 30 we serve them by fresh permits produced by the,0,remaining 70 permits and the remaining 30 we serve them by fresh permits produced by the | smoothratelimiter java,"[0, 0, 0, 1, 0, 0, 0]"
1553,SmoothRateLimiter.java,rate limiter,0,rate limiter | smoothratelimiter java,"[0, 0, 0, 1, 0, 0, 0]"
1555,SmoothRateLimiter.java,1 token per second then this will take 3 seconds,0,1 token per second then this will take 3 seconds | smoothratelimiter java,"[0, 0, 0, 1, 0, 0, 0]"
1556,SmoothRateLimiter.java,but what does it mean to serve 7 stored,0,but what does it mean to serve 7 stored | smoothratelimiter java,"[0, 0, 0, 1, 0, 0, 0]"
1557,SmoothRateLimiter.java,permits,0,permits | smoothratelimiter java,"[0, 0, 0, 1, 0, 0, 0]"
